Entry	Entry Name	Gene Names	Protein names	Gene Ontology IDs
P0AF67	TSAE_ECOLI	tsaE yjeE b4168 JW4126	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE (t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaE)	GO:0000408; GO:0002949; GO:0004672; GO:0005524; GO:0005737; GO:0016887; GO:0042802; GO:0043531; GO:0046872; GO:1990145
P0AF90	RRAB_ECOLI	rraB yjgD b4255 JW4212	Regulator of ribonuclease activity B	GO:0005829; GO:0006402; GO:0008428; GO:0019899; GO:0042803; GO:0060698; GO:0060699
P0AF93	RIDA_ECOLI	ridA yjgF b4243 JW5755	2-iminobutanoate/2-iminopropanoate deaminase (EC 3.5.99.10) (Enamine/imine deaminase)	GO:0005829; GO:0009097; GO:0009636; GO:0016020; GO:0019239; GO:0032991; GO:0042802; GO:0051082; GO:0070207; GO:0120242; GO:0120243
P0AFA2	NARX_ECOLI	narX narR b1222 JW1213	Nitrate/nitrite sensor protein NarX (EC 2.7.13.3)	GO:0000155; GO:0004721; GO:0005524; GO:0005886; GO:0006974; GO:0007165; GO:0030288; GO:0042128; GO:0042803; GO:0071249; GO:0071250
P0AFA7	NHAB_ECOLI	nhaB b1186 JW1175	Na(+)/H(+) antiporter NhaB (Sodium/proton antiporter NhaB)	GO:0005886; GO:0010226; GO:0015385
P0AFB1	NLPI_ECOLI	nlpI yhbM b3163 JW3132	Lipoprotein NlpI	GO:0000270; GO:0005886; GO:0030674; GO:0042803; GO:0051301
P0AFB5	NTRB_ECOLI	glnL glnR ntrB b3869 JW3840	Sensory histidine kinase/phosphatase NtrB (EC 2.7.13.3) (EC 3.1.3.-) (Nitrogen regulation protein NR(II)) (Nitrogen regulator II) (NRII)	GO:0000155; GO:0004673; GO:0004721; GO:0005524; GO:0005737; GO:0006355; GO:0007165; GO:0016774; GO:0023019; GO:0042802; GO:0042803
P0AFB8	NTRC_ECOLI	glnG glnT ntrC b3868 JW3839	DNA-binding transcriptional regulator NtrC (Nitrogen regulation protein NR(I)) (Nitrogen regulator I) (NRI)	GO:0000156; GO:0000987; GO:0001216; GO:0005524; GO:0005829; GO:0006808; GO:0032993; GO:0045893
P0AFC0	NUDB_ECOLI	nudB ntpA b1865 JW1854	Dihydroneopterin triphosphate diphosphatase (EC 3.6.1.67) (Dihydroneopterin triphosphate pyrophosphatase) (dATP pyrophosphohydrolase)	GO:0000287; GO:0008828; GO:0019177; GO:0046654; GO:0046656; GO:0046872
P0AFC3	NUOA_ECOLI	nuoA b2288 JW2283	NADH-quinone oxidoreductase subunit A (EC 7.1.1.-) (NADH dehydrogenase I subunit A) (NDH-1 subunit A) (NUO1)	GO:0005886; GO:0008137; GO:0016020; GO:0022904; GO:0030964; GO:0045271; GO:0048038; GO:0050136
P0AFC7	NUOB_ECOLI	nuoB b2287 JW5875	NADH-quinone oxidoreductase subunit B (EC 7.1.1.-) (NADH dehydrogenase I subunit B) (NDH-1 subunit B) (NUO2)	GO:0005506; GO:0005886; GO:0008137; GO:0009060; GO:0015990; GO:0016020; GO:0022904; GO:0030964; GO:0045271; GO:0048038; GO:0050136; GO:0051539
P0AFD1	NUOE_ECOLI	nuoE b2285 JW2280	NADH-quinone oxidoreductase subunit E (EC 7.1.1.-) (NADH dehydrogenase I subunit E) (NDH-1 subunit E) (NUO5)	GO:0005886; GO:0016020; GO:0016491; GO:0022904; GO:0030964; GO:0045271; GO:0046872; GO:0048038; GO:0051537; GO:1902600
P0AFD4	NUOH_ECOLI	nuoH b2282 JW2277	NADH-quinone oxidoreductase subunit H (EC 7.1.1.-) (NADH dehydrogenase I subunit H) (NDH-1 subunit H) (NUO8)	GO:0005886; GO:0009060; GO:0016020; GO:0016655; GO:0022904; GO:0030964; GO:0045271; GO:0048038; GO:1902600
P0AFD6	NUOI_ECOLI	nuoI b2281 JW2276	NADH-quinone oxidoreductase subunit I (EC 7.1.1.-) (NADH dehydrogenase I subunit I) (NDH-1 subunit I) (NUO9)	GO:0005506; GO:0005886; GO:0009060; GO:0016020; GO:0022904; GO:0030964; GO:0045271; GO:0048038; GO:0050136; GO:0051539
P0AFE0	NUOJ_ECOLI	nuoJ b2280 JW2275	NADH-quinone oxidoreductase subunit J (EC 7.1.1.-) (NADH dehydrogenase I subunit J) (NDH-1 subunit J) (NUO10)	GO:0005886; GO:0008137; GO:0016020; GO:0022904; GO:0030964; GO:0045271; GO:0048038
P0AFE4	NUOK_ECOLI	nuoK b2279 JW2274	NADH-quinone oxidoreductase subunit K (EC 7.1.1.-) (NADH dehydrogenase I subunit K) (NDH-1 subunit K) (NUO11)	GO:0005886; GO:0008137; GO:0016020; GO:0022904; GO:0030964; GO:0042773; GO:0045271; GO:0048038; GO:0050136
P0AFE8	NUOM_ECOLI	nuoM b2277 JW2272	NADH-quinone oxidoreductase subunit M (EC 7.1.1.-) (NADH dehydrogenase I subunit M) (NDH-1 subunit M) (NUO13)	GO:0005886; GO:0008137; GO:0009060; GO:0015990; GO:0016020; GO:0022904; GO:0030964; GO:0042773; GO:0045271; GO:0048039
P0AFF0	NUON_ECOLI	nuoN b2276 JW2271	NADH-quinone oxidoreductase subunit N (EC 7.1.1.-) (NADH dehydrogenase I subunit N) (NDH-1 subunit N) (NUO14)	GO:0005886; GO:0008137; GO:0009060; GO:0015990; GO:0016020; GO:0022904; GO:0030964; GO:0042773; GO:0045271; GO:0048038; GO:0050136
P0AFF2	NUPC_ECOLI	nupC cru b2393 JW2389	Nucleoside permease NupC (Nucleoside-transport system protein NupC)	GO:0005886; GO:0015212; GO:0015213; GO:0015506; GO:1901642
P0AFF4	NUPG_ECOLI	nupG b2964 JW2932	Nucleoside permease NupG (Nucleoside-transport system protein NupG)	GO:0005886; GO:0015212; GO:0015213; GO:0015214; GO:0015506; GO:0015860; GO:0015862; GO:0015864; GO:0032238; GO:1901642
P0AFF6	NUSA_ECOLI	nusA b3169 JW3138	Transcription termination/antitermination protein NusA (N utilization substance protein A) (Transcription termination/antitermination L factor)	GO:0000166; GO:0001000; GO:0003700; GO:0003723; GO:0005829; GO:0006353; GO:0008023; GO:0019904; GO:0031564; GO:0032784; GO:0042254; GO:0051259
P0AFG3	ODO1_ECOLI	sucA b0726 JW0715	2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2) (Alpha-ketoglutarate dehydrogenase)	GO:0000166; GO:0000287; GO:0004591; GO:0005737; GO:0005829; GO:0006099; GO:0030976; GO:0042802; GO:0045252
P0AFG6	ODO2_ECOLI	sucB b0727 JW0716	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61) (2-oxoglutarate dehydrogenase complex component E2) (OGDC-E2) (Dihydrolipoamide succinyltransferase component of 2-oxoglutarate dehydrogenase complex)	GO:0004149; GO:0005737; GO:0005829; GO:0006099; GO:0031405; GO:0033512; GO:0045252
P0AFG8	ODP1_ECOLI	aceE b0114 JW0110	Pyruvate dehydrogenase E1 component (PDH E1 component) (EC 1.2.4.1)	GO:0000287; GO:0004739; GO:0005829; GO:0016020; GO:0030976; GO:0036094; GO:0042802; GO:0042803; GO:0042867; GO:0045254; GO:0060090
P0AFI0	OXC_ECOLI	oxc yfdU b2373 JW2370	Oxalyl-CoA decarboxylase (EC 4.1.1.8)	GO:0000287; GO:0001561; GO:0008949; GO:0030976; GO:0033611; GO:0042802; GO:0043531; GO:0071468
P0AFI2	PARC_ECOLI	parC b3019 JW2987	DNA topoisomerase 4 subunit A (EC 5.6.2.2) (Topoisomerase IV subunit A)	GO:0003677; GO:0003918; GO:0005524; GO:0005694; GO:0005737; GO:0005829; GO:0006265; GO:0007059; GO:0007062; GO:0009330; GO:0019897; GO:0030541
P0AFI5	PBP7_ECOLI	pbpG yohB b2134 JW5355	D-alanyl-D-alanine endopeptidase (DD-endopeptidase) (EC 3.4.21.-) (Penicillin-binding protein 7) (PBP-7)	GO:0000270; GO:0004175; GO:0006508; GO:0008360; GO:0009002; GO:0009252; GO:0042597; GO:0071555
P0AFI7	PDXH_ECOLI	pdxH b1638 JW1630	Pyridoxine/pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5) (PNP/PMP oxidase) (PNPOx) (Pyridoxal 5'-phosphate synthase)	GO:0004733; GO:0005829; GO:0008615; GO:0010181; GO:0016491; GO:0030170; GO:0032991; GO:0036001; GO:0042301; GO:0042803; GO:0042823; GO:1902444
P0AFJ7	PITA_ECOLI	pitA pit b3493 JW3460	Low-affinity inorganic phosphate transporter PitA (Metal phosphate:H(+) symporter PitA)	GO:0005315; GO:0005385; GO:0005886; GO:0010960; GO:0015295; GO:0015654; GO:0015710; GO:0035435; GO:1901683; GO:1901684
P0AFL3	PPIA_ECOLI	ppiA rot rotA b3363 JW3326	Peptidyl-prolyl cis-trans isomerase A (PPIase A) (EC 5.2.1.8) (Cyclophilin A) (Rotamase A)	GO:0003755; GO:0006457; GO:0030288; GO:0042597
P0AFL6	PPX_ECOLI	ppx b2502 JW2487	Exopolyphosphatase (ExopolyPase) (EC 3.6.1.11) (Metaphosphatase)	GO:0004309; GO:0005886; GO:0006798; GO:0042802; GO:0042803; GO:0097216
P0AFM2	PROX_ECOLI	proX proU b2679 JW2654	Glycine betaine/proline betaine-binding periplasmic protein (GBBP)	GO:0006972; GO:0016020; GO:0022857; GO:0030288; GO:0031460; GO:0050997; GO:0071470; GO:0089718; GO:1903804; GO:1990222
P0AFM6	PSPA_ECOLI	pspA b1304 JW1297	Phage shock protein A	GO:0005543; GO:0005667; GO:0005829; GO:0005886; GO:0006355; GO:0009271; GO:0009408; GO:0042802; GO:0060187; GO:0080135
P0AFP6	GCH1L_ECOLI	ybgI b0710 JW0700	GTP cyclohydrolase 1 type 2 homolog (Radiation resistance protein YbgI)	GO:0005737; GO:0005829; GO:0006281; GO:0010212; GO:0034214; GO:0042802; GO:0046872; GO:0060187
P0AFQ5	RUTC_ECOLI	rutC ycdK b1010 JW0995	3-aminoacrylate deaminase RutC (3-AA deaminase) (EC 3.5.-.-)	GO:0005829; GO:0006208; GO:0006212; GO:0019239; GO:0019740; GO:0042802
P0AFR2	DAUA_ECOLI	dauA ychM b1206 JW5189	C4-dicarboxylic acid transporter DauA (Dicarboxylic acid uptake system A)	GO:0005886; GO:0008271; GO:0015138; GO:0015141; GO:0015183; GO:0015741; GO:0015810; GO:0022857; GO:0055085; GO:0071422
P0AFS3	FOLM_ECOLI	folM ydgB b1606 JW1598	Dihydromonapterin reductase (H(2)-MPt reductase) (EC 1.5.1.50) (Dihydrofolate reductase) (DHFR) (EC 1.5.1.3)	GO:0004146; GO:0006730; GO:0009257; GO:0016491; GO:0042559; GO:0042802; GO:0046656; GO:0051289; GO:0071172
P0AFS9	MEPM_ECOLI	mepM yebA b1856 JW5304	Murein DD-endopeptidase MepM (EC 3.4.24.-) (Murein hydrolase MepM) (ORFU)	GO:0000270; GO:0004175; GO:0004222; GO:0005886; GO:0006508; GO:0009254; GO:0045227; GO:0046872; GO:0071555
P0AFT2	TCYL_ECOLI	tcyL yecS b1918 JW1903	L-cystine transport system permease protein TcyL	GO:0005886; GO:0006791; GO:0015184; GO:0015811; GO:0015830; GO:0055052; GO:1903712
P0AFU0	YEJB_ECOLI	yejB b2178 JW2166	Oligopeptide transport system permease protein YejB	GO:0005886; GO:0015833; GO:0016020; GO:0022857; GO:0035672; GO:0042884; GO:0055052
P0AFU4	GLRR_ECOLI	glrR yfhA b2554 JW2538	Transcriptional regulatory protein GlrR	GO:0000156; GO:0000160; GO:0000987; GO:0001216; GO:0003700; GO:0005524; GO:0005737; GO:0006351; GO:0032993; GO:0045893
P0AFV4	MEPS_ECOLI	mepS spr yeiV b2175 JW2163	Murein DD-endopeptidase MepS/Murein LD-carboxypeptidase (EC 3.4.-.-) (EC 3.4.17.13) (Lipoprotein Spr) (Murein hydrolase MepS)	GO:0000270; GO:0004175; GO:0006508; GO:0008234; GO:0009254; GO:0009279; GO:0045227; GO:0071555; GO:0106415
P0AFW0	RFAH_ECOLI	rfaH hlyT sfrB b3842 JW3818	Transcription antitermination protein RfaH	GO:0001000; GO:0001073; GO:0003677; GO:0005829; GO:0006354; GO:0008494; GO:0031564; GO:0045727; GO:0061980
P0AFW2	RMF_ECOLI	rmf b0953 JW0936	Ribosome modulation factor (RMF) (Hibernation factor RMF) (Protein E)	GO:0005737; GO:0019843; GO:0022611; GO:0032055; GO:0033554; GO:0043022; GO:0043024
P0AFX0	HPF_ECOLI	hpf yhbH b3203 JW3170	Ribosome hibernation promoting factor (HPF) (Hibernation factor HPF)	GO:0005829; GO:0017148; GO:0022611; GO:0022627; GO:0043022; GO:0043024; GO:0045900
P0AFX7	RSEA_ECOLI	rseA mclA yfiJ b2572 JW2556	Anti-sigma-E factor RseA (Regulator of SigE) (Sigma-E anti-sigma factor RseA) (Sigma-E factor negative regulatory protein)	GO:0005886; GO:0006950; GO:0016989; GO:0045892; GO:0060090; GO:1903865
P0AFX9	RSEB_ECOLI	rseB b2571 JW2555	Sigma-E factor regulatory protein RseB	GO:0005886; GO:0008289; GO:0030288; GO:0032885; GO:0042802; GO:0045152; GO:0045892; GO:0050821; GO:1903865
P0AFY6	SBMA_ECOLI	sbmA b0377 JW0368	Peptide antibiotic transporter SbmA	GO:0005524; GO:0005886; GO:0015031; GO:0015291; GO:0015638; GO:0015833; GO:0042803; GO:0042884; GO:0042885; GO:0046677; GO:1904680
P0AFY8	SEQA_ECOLI	seqA b0687 JW0674	Negative modulator of initiation of replication	GO:0003688; GO:0005829; GO:0006355; GO:0007062; GO:0009314; GO:0010385; GO:0032297; GO:0032991; GO:0042802; GO:0042803; GO:0044729; GO:1990097
P0AFZ3	SSPB_ECOLI	sspB b3228 JW3197	Stringent starvation protein B (Adapter protein SspB) (Specificity-enhancing factor SspB)	GO:0003723; GO:0005829; GO:0005840; GO:0009376; GO:0030163; GO:0042803; GO:0045732; GO:0051117; GO:0060090; GO:1903052
P0AFZ5	SULA_ECOLI	sulA sfiA b0958 JW0941	Cell division inhibitor SulA	GO:0000917; GO:0006281; GO:0006974; GO:0009432; GO:0032272; GO:0032466; GO:0051782; GO:2000245
P0AG07	RPE_ECOLI	rpe dod yhfD b3386 JW3349	Ribulose-phosphate 3-epimerase (EC 5.1.3.1) (Pentose-5-phosphate 3-epimerase) (PPE) (R5P3E)	GO:0004750; GO:0005829; GO:0005975; GO:0008198; GO:0009052; GO:0019323; GO:0046872
P0AG11	UMUD_ECOLI	umuD b1183 JW1172	Protein UmuD (EC 3.4.21.-) (DNA polymerase V) (Pol V) [Cleaved into: Protein UmuD']	GO:0001217; GO:0003676; GO:0003697; GO:0003887; GO:0005829; GO:0006281; GO:0006508; GO:0006974; GO:0008094; GO:0008236; GO:0009355; GO:0009432; GO:0019985; GO:0032993; GO:0042802; GO:0043565; GO:0045892
P0AG16	PUR1_ECOLI	purF b2312 JW2309	Amidophosphoribosyltransferase (ATase) (EC 2.4.2.14) (Glutamine phosphoribosylpyrophosphate amidotransferase) (GPATase)	GO:0000287; GO:0004044; GO:0005737; GO:0005829; GO:0006164; GO:0006189; GO:0006541; GO:0009113; GO:0016757; GO:0042802; GO:0097216
P0AG18	PURE_ECOLI	purE b0523 JW0512	N5-carboxyaminoimidazole ribonucleotide mutase (N5-CAIR mutase) (EC 5.4.99.18) (5-(carboxyamino)imidazole ribonucleotide mutase)	GO:0005829; GO:0006189; GO:0034023; GO:0042802
P0AG20	RELA_ECOLI	relA b2784 JW2755	GTP pyrophosphokinase (EC 2.7.6.5) ((p)ppGpp synthase) (ATP:GTP 3'-pyrophosphotransferase) (ppGpp synthase I)	GO:0005524; GO:0005525; GO:0008728; GO:0008893; GO:0015949; GO:0015969; GO:0015970; GO:0016301; GO:0042594; GO:0051302
P0AG24	SPOT_ECOLI	spoT b3650 JW3625	Bifunctional (p)ppGpp synthase/hydrolase SpoT [Includes: GTP pyrophosphokinase (EC 2.7.6.5) ((p)ppGpp synthase) (ATP:GTP 3'-pyrophosphotransferase) (Stringent response-like protein) (ppGpp synthase II); Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase (EC 3.1.7.2) (Penta-phosphate guanosine-3'-pyrophosphohydrolase) ((ppGpp)ase)]	GO:0005829; GO:0008728; GO:0008893; GO:0015949; GO:0015969; GO:0015970; GO:0016301; GO:0042594
P0AG30	RHO_ECOLI	rho nitA psuA rnsC sbaA tsu b3783 JW3756	Transcription termination factor Rho (EC 3.6.4.-) (ATP-dependent helicase Rho)	GO:0003723; GO:0004386; GO:0005524; GO:0005829; GO:0006353; GO:0008186; GO:0016020; GO:0016787; GO:0042802
P0AG55	RL6_ECOLI	rplF b3305 JW3267	Large ribosomal subunit protein uL6 (50S ribosomal protein L6)	GO:0000027; GO:0002181; GO:0003735; GO:0005737; GO:0005829; GO:0022625; GO:0046677; GO:0070180
P0AG59	RS14_ECOLI	rpsN b3307 JW3269	Small ribosomal subunit protein uS14 (30S ribosomal protein S14)	GO:0000028; GO:0000049; GO:0002181; GO:0003735; GO:0005737; GO:0006412; GO:0015935; GO:0019843; GO:0022627
P0AG63	RS17_ECOLI	rpsQ neaA b3311 JW3273	Small ribosomal subunit protein uS17 (30S ribosomal protein S17)	GO:0000028; GO:0002181; GO:0003735; GO:0005737; GO:0008270; GO:0019843; GO:0022627; GO:0046677; GO:0070181
P0AG67	RS1_ECOLI	rpsA ssyF b0911 JW0894	Small ribosomal subunit protein bS1 (30S ribosomal protein S1) (Bacteriophage Q beta RNA-directed RNA polymerase subunit I)	GO:0000028; GO:0002181; GO:0003723; GO:0003727; GO:0003729; GO:0003735; GO:0005737; GO:0006412; GO:0016020; GO:0022627; GO:2000766; GO:2000767
P0AG74	RUSA_ECOLI	rusA rus ybcP b0550 JW0538	Crossover junction endodeoxyribonuclease RusA (EC 3.1.21.10) (Holliday junction nuclease RusA) (Holliday junction resolvase)	GO:0000287; GO:0000400; GO:0006281; GO:0006310; GO:0008821; GO:0042803
P0AG80	UGPB_ECOLI	ugpB b3453 JW3418	sn-glycerol-3-phosphate-binding periplasmic protein UgpB (Bile-responsive chaperone)	GO:0001407; GO:0015794; GO:0016020; GO:0022857; GO:0030288; GO:1902517
P0AG86	SECB_ECOLI	secB b3609 JW3584	Protein-export protein SecB (Chaperone SecB)	GO:0005829; GO:0006457; GO:0006605; GO:0008104; GO:0015031; GO:0036506; GO:0043952; GO:0051082; GO:0051262; GO:0070678
P0AG90	SECD_ECOLI	secD b0408 JW0398	Protein translocase subunit SecD (Sec translocon accessory complex subunit SecD)	GO:0005886; GO:0006605; GO:0015031; GO:0015450; GO:0016020; GO:0031522; GO:0043952; GO:0065002
P0AG93	SECF_ECOLI	secF b0409 JW0399	Protein translocase subunit SecF (Sec translocon accessory complex subunit SecF)	GO:0005886; GO:0006605; GO:0015031; GO:0015450; GO:0016020; GO:0031522; GO:0043952; GO:0065002
P0AG96	SECE_ECOLI	secE prlG b3981 JW3944	Protein translocase subunit SecE	GO:0005886; GO:0006616; GO:0006886; GO:0008320; GO:0009306; GO:0016020; GO:0031522; GO:0043952; GO:0065002
P0AG99	SECG_ECOLI	secG b3175 JW3142	Protein-export membrane protein SecG (P12) (Preprotein translocase band 1 subunit)	GO:0005886; GO:0006616; GO:0006886; GO:0008320; GO:0009306; GO:0015450; GO:0016020; GO:0031522; GO:0043952; GO:0065002
P0AGA2	SECY_ECOLI	secY prlA b3300 JW3262	Protein translocase subunit SecY	GO:0005048; GO:0005886; GO:0006616; GO:0006886; GO:0008320; GO:0016020; GO:0031522; GO:0043952; GO:0065002
P0AGB0	SERB_ECOLI	serB b4388 JW4351	Phosphoserine phosphatase (PSP) (PSPase) (EC 3.1.3.3) (O-phosphoserine phosphohydrolase)	GO:0000287; GO:0005737; GO:0006564; GO:0008652; GO:0016791; GO:0036424
P0AGB3	RPOH_ECOLI	rpoH fam hin htpR b3461 JW3426	RNA polymerase sigma factor RpoH (Heat shock regulatory protein F33.4) (RNA polymerase sigma-32 factor)	GO:0000345; GO:0001000; GO:0001046; GO:0001216; GO:0003677; GO:0005829; GO:0005886; GO:0006310; GO:0006351; GO:0006352; GO:0006355; GO:0009009; GO:0009408; GO:0010468; GO:0016987; GO:0031421; GO:2000142
P0AGB6	RPOE_ECOLI	rpoE sigE b2573 JW2557	ECF RNA polymerase sigma-E factor (RNA polymerase sigma-E factor) (Sigma-24)	GO:0000345; GO:0003677; GO:0005737; GO:0005886; GO:0006352; GO:0006355; GO:0006970; GO:0009266; GO:0016987; GO:0036460; GO:0045892; GO:0090605; GO:1903865; GO:2000142
P0AGC0	UHPT_ECOLI	uhpT b3666 JW3641	Hexose-6-phosphate:phosphate antiporter	GO:0005886; GO:0015526; GO:0015712; GO:0015760; GO:0035435; GO:0061513
P0AGC3	SLT_ECOLI	slt sltY b4392 JW4355	Soluble lytic murein transglycosylase (EC 4.2.2.n1) (Exomuramidase) (Peptidoglycan lytic exotransglycosylase) (Slt70)	GO:0004553; GO:0008932; GO:0008933; GO:0009253; GO:0009274; GO:0016020; GO:0030288; GO:0071555
P0AGD1	SODC_ECOLI	sodC b1646 JW1638	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1) (Bacteriocuprein)	GO:0004784; GO:0005507; GO:0006801; GO:0008270; GO:0019430; GO:0030288; GO:0042597
P0AGD3	SODF_ECOLI	sodB b1656 JW1648	Superoxide dismutase [Fe] (EC 1.15.1.1)	GO:0000303; GO:0004784; GO:0005506; GO:0005737; GO:0005829; GO:0006801; GO:0016020; GO:0016491; GO:0019430
P0AGD7	SRP54_ECOLI	ffh b2610 JW5414	Signal recognition particle protein (EC 3.6.5.4) (Fifty-four homolog) (Ffh) (p48)	GO:0003924; GO:0005525; GO:0005829; GO:0006612; GO:0006614; GO:0008312; GO:0048500; GO:1990904
P0AGE0	SSB_ECOLI	ssb exrB lexC b4059 JW4020	Single-stranded DNA-binding protein (SSB) (Helix-destabilizing protein)	GO:0000725; GO:0003697; GO:0005829; GO:0006260; GO:0006261; GO:0006298; GO:0008047; GO:0009295; GO:0009432; GO:0030894; GO:0042802; GO:0044777
P0AGE4	SSTT_ECOLI	sstT ygjU b3089 JW3060	Serine/threonine transporter SstT (Na(+)/serine-threonine symporter)	GO:0005295; GO:0005886; GO:0006865; GO:0015175; GO:0015194; GO:0015195; GO:0015825; GO:0015826; GO:0032329
P0AGE6	CHRR_ECOLI	chrR yieF b3713 JW3691	Quinone reductase (EC 1.6.5.2) (Chromate reductase) (CHRR) (EC 1.6.-.-) (NAD(P)H dehydrogenase (quinone))	GO:0005829; GO:0006805; GO:0008753; GO:0010181; GO:0016491; GO:0042802; GO:0050136; GO:0051289
P0AGE9	SUCD_ECOLI	sucD b0729 JW0718	Succinate--CoA ligase [ADP-forming] subunit alpha (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)	GO:0000166; GO:0004775; GO:0004776; GO:0005737; GO:0005829; GO:0006099; GO:0009361
P0AGF2	CSDE_ECOLI	csdE ygdK b2811 JW2782	Sulfur acceptor protein CsdE	GO:0008047; GO:0061504; GO:0097163; GO:1990228
P0AGF4	XYLE_ECOLI	xylE b4031 JW3991	D-xylose-proton symporter (D-xylose transporter)	GO:0005886; GO:0015519; GO:0015753; GO:0016020; GO:0022857; GO:0055085
P0AGF6	TDCB_ECOLI	tdcB b3117 JW3088	L-threonine dehydratase catabolic TdcB (EC 4.3.1.19) (L-serine dehydratase) (EC 4.3.1.17) (Threonine deaminase)	GO:0000166; GO:0003941; GO:0004793; GO:0004794; GO:0005829; GO:0006565; GO:0006567; GO:0016597; GO:0030170; GO:0032991; GO:0070689
P0AGG0	THIL_ECOLI	thiL b0417 JW0407	Thiamine-monophosphate kinase (TMP kinase) (Thiamine-phosphate kinase) (EC 2.7.4.16)	GO:0000287; GO:0005524; GO:0009030; GO:0009228; GO:0009229; GO:0046872
P0AGG2	TESB_ECOLI	tesB b0452 JW0442	Acyl-CoA thioesterase 2 (EC 3.1.2.20) (Thioesterase II) (TEII)	GO:0005829; GO:0006637; GO:0009062; GO:0042802; GO:0042803; GO:0047617
P0AGI1	RBSC_ECOLI	rbsC b3750 JW3729	Ribose import permease protein RbsC	GO:0005886; GO:0015591; GO:0015752; GO:0016020; GO:0043190; GO:0055052
P0AGJ7	TRML_ECOLI	trmL yibK b3606 JW3581	tRNA (cytidine(34)-2'-O)-methyltransferase (EC 2.1.1.207) (tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmL)	GO:0002131; GO:0002132; GO:0003723; GO:0005737; GO:0042803; GO:0141098; GO:0141102
P0AGJ9	SYY_ECOLI	tyrS b1637 JW1629	Tyrosine--tRNA ligase (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS)	GO:0003723; GO:0004831; GO:0005524; GO:0005829; GO:0006437; GO:0016020; GO:0042803; GO:0043039
P0AGK1	UBIA_ECOLI	ubiA cyr b4040 JW4000	4-hydroxybenzoate octaprenyltransferase (EC 2.5.1.39) (4-HB polyprenyltransferase) (PHB octaprenyl transferase)	GO:0005886; GO:0006744; GO:0008412; GO:0016765
P0AGK8	ISCR_ECOLI	iscR yfhP b2531 JW2515	HTH-type transcriptional regulator IscR	GO:0003690; GO:0003700; GO:0005506; GO:0005829; GO:0006355; GO:0042802; GO:0051537
P0AGM7	URAA_ECOLI	uraA b2497 JW2482	Uracil permease (Uracil transporter) (Uracil/H(+) symporter UraA)	GO:0005886; GO:0015210; GO:0015505; GO:0015857; GO:0016020; GO:0042803; GO:0098721
P0C018	RL18_ECOLI	rplR b3304 JW3266	Large ribosomal subunit protein uL18 (50S ribosomal protein L18)	GO:0002181; GO:0003735; GO:0005737; GO:0005829; GO:0008097; GO:0022625
P0C037	PPNP_ECOLI	ppnP yaiE b0391 JW0382	Pyrimidine/purine nucleoside phosphorylase (EC 2.4.2.1) (EC 2.4.2.2) (Adenosine phosphorylase) (Cytidine phosphorylase) (Guanosine phosphorylase) (Inosine phosphorylase) (Thymidine phosphorylase) (Uridine phosphorylase) (Xanthosine phosphorylase)	GO:0004731; GO:0004850; GO:0005829; GO:0009032; GO:0016154; GO:0042803; GO:0047975
P0C054	IBPA_ECOLI	ibpA hslT htpN b3687 JW3664	Small heat shock protein IbpA (16 kDa heat shock protein A)	GO:0005737; GO:0005829; GO:0009408; GO:0017148; GO:0042802; GO:0042803; GO:0048027; GO:0050821
P0C058	IBPB_ECOLI	ibpB hslS htpE b3686 JW3663	Small heat shock protein IbpB (16 kDa heat shock protein B)	GO:0005737; GO:0009408; GO:0042802; GO:0050821; GO:1990169
P0C077	RELE_ECOLI	relE b1563 JW1555	mRNA interferase toxin RelE (EC 3.1.-.-) (Endoribonuclease RelE) (Toxin RelE)	GO:0000976; GO:0001217; GO:0004519; GO:0004521; GO:0006355; GO:0006402; GO:0016787; GO:0017148; GO:0019843; GO:0032993; GO:0034198; GO:0040008; GO:0043022; GO:0044010; GO:0046677; GO:0097351; GO:0110001
P0C079	RELB_ECOLI	relB b1564 JW1556	Antitoxin RelB	GO:0000976; GO:0001217; GO:0006351; GO:0006355; GO:0032993; GO:0040008; GO:0044010; GO:0097351; GO:0110001
P0C093	SLMA_ECOLI	slmA ttk yicB b3641 JW5641	Nucleoid occlusion factor SlmA (Protein Ttk) (Synthetically lethal with a defective Min system protein A)	GO:0000918; GO:0000976; GO:0003677; GO:0003700; GO:0005737; GO:0006355; GO:0010974; GO:0032272; GO:0042802; GO:0042803; GO:0043565; GO:0043590
P0C0K3	SRKA_ECOLI	srkA rdoA yihE b3859 JW3831	Stress response kinase A (EC 2.7.11.1) (Serine/threonine protein kinase YihE) (Serine/threonine-protein kinase SrkA)	GO:0000287; GO:0004674; GO:0005524; GO:0005737; GO:0006950; GO:0106310
