# License
#	# RegulonDB is free for academic/noncommercial use
# User is not entitled to change or erase data sets of the RegulonDB
# database or to eliminate copyright notices from RegulonDB. Furthermore,
# User is not entitled to expand RegulonDB or to integrate RegulonDB partly
# or as a whole into other databank systems, without prior written consent
# from CCG-UNAM.
# Please check the license at https://regulondb.ccg.unam.mx/manual/aboutUs/terms-conditions
# Citation
#	# Heladia Salgado, Socorro Gama-Castro, et al., RegulonDB v12.0: a comprehensive resource of transcriptional regulation in E. coli K-12,
# Nucleic Acids Research, 2023;, gkad1072, https://doi.org/10.1093/nar/gkad1072
# RegulonDB Release: 14.5
# Contact
#	email:regulondb@ccg.unam.mx
#Date:
#	06-02-2026
## Columns:
#(1) sigmaName. Sigma Name
## (2) regulatedName. Gene regulated by the Sigma Factor (regulated Gene)
## (3) function. Regulatory Function of the Sigma on the regulated Gene (+ activator, - repressor, -+ dual, ? unknown)
## (4)promoterEvidences. Evidence that supports the regulation the sigma on the promoter and the promoter evidences
## (5) confidenceLevel. RI confidence level based on its evidence (Values: Confirmed[C], Strong[S], Weak[W], Unknown[?])
1)sigmaName	2)regulatedName	3)function	4)promoterEvidence	5)confidenceLevel 
sigma38	fic	+	[EXP-IEP,EXP-CHIP-EXO-MANUAL,HTP-HEP,EXP-IPI,COMP-HINF-POSITIONAL-IDENTIFICATION,COMP-HINF,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,EXP-IDA-RNA-POLYMERASE-FOOTPRINTING,EXP-IMP]	C 
sigma38	folK	+	[COMP-HINF,EXP-IDA,EXP-IEP,COMP-AINF,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	frdA	+	[COMP-HINF,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	frdB	+	[COMP-HINF,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	frdC	+	[COMP-HINF,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	frdD	+	[COMP-HINF,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	ftsA	+	[EXP-IDA,COMP-HINF,COMP-AINF,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	ftsQ	+	[EXP-IDA,COMP-HINF,COMP-AINF,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	ftsZ	+	[EXP-IDA,COMP-HINF,COMP-AINF,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	fumC	+	[EXP-IEP,COMP-AINF,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	gabD	+	[COMP-HINF,EXP-IEP,COMP-HINF-POSITIONAL-IDENTIFICATION,EV-EXP-IDA-TRANSCRIPTION-INIT-MAPPING-PRIMER-EXTENSION-TSS,COMP-AINF]	W 
sigma38	gabP	+	[COMP-HINF,EXP-IEP,COMP-HINF-POSITIONAL-IDENTIFICATION,EV-EXP-IDA-TRANSCRIPTION-INIT-MAPPING-PRIMER-EXTENSION-TSS,COMP-AINF]	W 
sigma38	gabT	+	[COMP-HINF,EXP-IEP,COMP-HINF-POSITIONAL-IDENTIFICATION,EV-EXP-IDA-TRANSCRIPTION-INIT-MAPPING-PRIMER-EXTENSION-TSS,COMP-AINF]	W 
sigma38	gadA	+	[EXP-IEP,COMP-HINF,EXP-CHIP-EXO-MANUAL,HTP-HEP,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,COMP-HINF-POSITIONAL-IDENTIFICATION]	S 
sigma38	gadB	+	[EXP-IEP,COMP-HINF,EXP-CHIP-EXO-MANUAL,HTP-HEP,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,COMP-AINF,COMP-HINF-POSITIONAL-IDENTIFICATION]	S 
sigma38	gadC	+	[EXP-IEP,COMP-HINF,EXP-CHIP-EXO-MANUAL,HTP-HEP,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,COMP-AINF,COMP-HINF-POSITIONAL-IDENTIFICATION]	S 
sigma38	gadE	+	[COMP-AINF,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	gadF	+	[COMP-AINF,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	gadW	+	[COMP-HINF-SIMILAR-TO-CONSENSUS,EXP-CHIP-EXO-MANUAL,HTP-HEP,COMP-HINF-POSITIONAL-IDENTIFICATION,EV-EXP-IDA-TRANSCRIPTION-INIT-MAPPING-PRIMER-EXTENSION-TSS,COMP-AINF]	W 
sigma38	gadX	+	[COMP-HINF-SIMILAR-TO-CONSENSUS,EXP-CHIP-EXO-MANUAL,HTP-HEP,COMP-HINF-POSITIONAL-IDENTIFICATION,EV-EXP-IDA-TRANSCRIPTION-INIT-MAPPING-PRIMER-EXTENSION-TSS,COMP-AINF]	W 
sigma38	gadY	+	[COMP-AINF-SIMILAR-TO-CONSENSUS,COMP-AINF,COMP-AINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,EXP-IMP]	S 
sigma38	galE	+	[EXP-IDA,COMP-HINF-SIMILAR-TO-CONSENSUS,EXP-IDA-RNA-POLYMERASE-FOOTPRINTING,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,COMP-AINF]	C 
sigma38	galK	+	[EXP-IDA,COMP-HINF-SIMILAR-TO-CONSENSUS,EXP-IDA-RNA-POLYMERASE-FOOTPRINTING,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,COMP-AINF]	C 
sigma38	galM	+	[EXP-IDA,COMP-HINF-SIMILAR-TO-CONSENSUS,EXP-IDA-RNA-POLYMERASE-FOOTPRINTING,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,COMP-AINF]	C 
sigma38	galT	+	[EXP-IDA,COMP-HINF-SIMILAR-TO-CONSENSUS,EXP-IDA-RNA-POLYMERASE-FOOTPRINTING,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,COMP-AINF]	C 
sigma38	gapA	+	[COMP-HINF,COMP-AINF,EXP-IMP,EXP-IDA-HPT-TRANSCR-INIT-M-RACE-MAP,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	C 
sigma38	glaH	+	[EXP-CHIP-EXO-MANUAL,HTP-HEP,COMP-AINF,EV-EXP-IDA-TRANSCRIPTION-INIT-MAPPING-PRIMER-EXTENSION-TSS]	W 
sigma38	glgA	+	[COMP-HINF,COMP-AINF,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	glgC	+	[COMP-HINF,COMP-AINF,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	glgP	+	[COMP-HINF,COMP-AINF,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	glgS	+	[EXP-CHIP-EXO-MANUAL,HTP-HEP,COMP-HINF-SIMILAR-TO-CONSENSUS,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,COMP-AINF]	S 
sigma38	glk	+	[COMP-HINF,EXP-IDA-HPT-TRANSCR-INIT-M-RACE-MAP,COMP-HINF-POSITIONAL-IDENTIFICATION]	S 
sigma38	glsA	+	[EXP-IEP,EXP-IPI,EXP-CHIP-EXO-MANUAL,HTP-HEP,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	gltB	+	[EXP-IPI,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	gltD	+	[EXP-IPI,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	gltF	+	[EXP-IPI,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	gor	+	[COMP-AINF,EXP-IEP,COMP-AINF-POSITIONAL-IDENTIFICATION]	W 
sigma38	gpmA	+	[COMP-HINF,COMP-AINF-POSITIONAL-IDENTIFICATION,EXP-IDA-HPT-TRANSCR-INIT-M-RACE-MAP]	S 
sigma38	gpmM	+	[COMP-HINF,EXP-IEP,EXP-IDA-HPT-TRANSCR-INIT-M-RACE-MAP]	W 
sigma38	gyrB	+	[EXP-IEP,COMP-HINF,COMP-AINF,EXP-IMP,COMP-HINF-POSITIONAL-IDENTIFICATION,EV-EXP-IDA-TRANSCRIPTION-INIT-MAPPING-S1]	W 
sigma38	hchA	+	[EXP-IEP,EXP-CHIP-EXO-MANUAL,HTP-HEP,COMP-AINF,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	hdeA	+	[COMP-HINF,EXP-IDA,EXP-CHIP-EXO-MANUAL,HTP-HEP,EXP-IEP,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	hdeB	+	[COMP-HINF,EXP-IDA,EXP-CHIP-EXO-MANUAL,HTP-HEP,EXP-IEP,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	hdeD	+	[EXP-IEP,EXP-IPI,EXP-CHIP-EXO-MANUAL,HTP-HEP,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,COMP-HINF-POSITIONAL-IDENTIFICATION]	S 
sigma38	hdfR	+	[COMP-HINF,COMP-AINF]	W 
sigma38	hmp	+	[COMP-HINF-SIMILAR-TO-CONSENSUS,COMP-AINF,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA-RNA-POLYMERASE-FOOTPRINTING,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,EV-EXP-IDA-TRANSCRIPTION-INIT-MAPPING-PRIMER-EXTENSION-TSS]	C 
sigma38	hofM	+	[COMP-AINF,COMP-AINF-POSITIONAL-IDENTIFICATION]	W 
sigma38	hofN	+	[COMP-AINF,COMP-AINF-POSITIONAL-IDENTIFICATION]	W 
sigma38	hofO	+	[COMP-AINF,COMP-AINF-POSITIONAL-IDENTIFICATION]	W 
sigma38	hofP	+	[COMP-AINF,COMP-AINF-POSITIONAL-IDENTIFICATION]	W 
sigma38	htrE	+	[COMP-HINF,EXP-IMP,COMP-AINF,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	hyaA	+	[COMP-HINF,EXP-IEP,COMP-HINF-POSITIONAL-IDENTIFICATION,EV-EXP-IDA-TRANSCRIPTION-INIT-MAPPING-PRIMER-EXTENSION-TSS,COMP-AINF,EXP-IMP]	W 
sigma38	hyaB	+	[COMP-HINF,EXP-IEP,COMP-HINF-POSITIONAL-IDENTIFICATION,EV-EXP-IDA-TRANSCRIPTION-INIT-MAPPING-PRIMER-EXTENSION-TSS,COMP-AINF,EXP-IMP]	W 
sigma38	hyaC	+	[COMP-HINF,EXP-IEP,COMP-HINF-POSITIONAL-IDENTIFICATION,EV-EXP-IDA-TRANSCRIPTION-INIT-MAPPING-PRIMER-EXTENSION-TSS,COMP-AINF,EXP-IMP]	W 
sigma38	hyaD	+	[COMP-HINF,EXP-IEP,COMP-HINF-POSITIONAL-IDENTIFICATION,EV-EXP-IDA-TRANSCRIPTION-INIT-MAPPING-PRIMER-EXTENSION-TSS,COMP-AINF,EXP-IMP]	W 
sigma38	hyaE	+	[COMP-HINF,EXP-IEP,COMP-HINF-POSITIONAL-IDENTIFICATION,EV-EXP-IDA-TRANSCRIPTION-INIT-MAPPING-PRIMER-EXTENSION-TSS,COMP-AINF,EXP-IMP]	W 
sigma38	hyaF	+	[COMP-HINF,EXP-IEP,COMP-HINF-POSITIONAL-IDENTIFICATION,EV-EXP-IDA-TRANSCRIPTION-INIT-MAPPING-PRIMER-EXTENSION-TSS,COMP-AINF,EXP-IMP]	W 
sigma38	ihfA	+	[COMP-HINF,COMP-AINF,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	ihfB	+	[COMP-HINF,COMP-AINF,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	ilvY	+	[COMP-HINF,EXP-IEP,EXP-IMP,COMP-HINF-POSITIONAL-IDENTIFICATION,COMP-AINF,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	insC5	+	[COMP-HINF,EXP-IEP,EXP-IDA-HPT-TRANSCR-INIT-M-RACE-MAP]	W 
sigma38	insCD5	+	[COMP-HINF,EXP-IEP,EXP-IDA-HPT-TRANSCR-INIT-M-RACE-MAP]	W 
sigma38	insD5	+	[COMP-HINF,EXP-IEP,EXP-IDA-HPT-TRANSCR-INIT-M-RACE-MAP]	W 
sigma38	insI1	+	[COMP-HINF,EXP-IEP,EXP-IDA-HPT-TRANSCR-INIT-M-RACE-MAP]	W 
sigma38	insN	+	[COMP-HINF,EXP-IEP,EXP-IDA-HPT-TRANSCR-INIT-M-RACE-MAP]	W 
sigma38	katE	+	[EXP-IEP,EXP-CHIP-EXO-MANUAL,HTP-HEP,COMP-AINF,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,EXP-IMP]	S 
sigma38	kbp	+	[EXP-CHIP-EXO-MANUAL,HTP-HEP,COMP-AINF]	W 
sigma38	ldcC	+	[EXP-IEP,AS-TAS,EXP-IMP]	W 
sigma38	lhgD	+	[EXP-CHIP-EXO-MANUAL,HTP-HEP,COMP-AINF,EV-EXP-IDA-TRANSCRIPTION-INIT-MAPPING-PRIMER-EXTENSION-TSS]	W 
sigma38	lpd	+	[COMP-HINF,COMP-AINF,EXP-IDA-HPT-TRANSCR-INIT-M-RACE-MAP,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	C 
sigma38	lsrA	+	[COMP-AINF,COMP-AINF-POSITIONAL-IDENTIFICATION]	W 
sigma38	lsrB	+	[COMP-AINF,COMP-AINF-POSITIONAL-IDENTIFICATION]	W 
sigma38	lsrC	+	[COMP-AINF,COMP-AINF-POSITIONAL-IDENTIFICATION]	W 
sigma38	lsrD	+	[COMP-AINF,COMP-AINF-POSITIONAL-IDENTIFICATION]	W 
sigma38	lsrF	+	[COMP-AINF,COMP-AINF-POSITIONAL-IDENTIFICATION]	W 
sigma38	lsrG	+	[COMP-AINF,COMP-AINF-POSITIONAL-IDENTIFICATION]	W 
sigma38	luxS	+	[COMP-HINF,COMP-AINF,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	mdtA	+	[COMP-AINF,COMP-AINF-POSITIONAL-IDENTIFICATION]	W 
sigma38	mdtB	+	[COMP-AINF,COMP-AINF-POSITIONAL-IDENTIFICATION]	W 
sigma38	mdtC	+	[COMP-AINF,COMP-AINF-POSITIONAL-IDENTIFICATION]	W 
sigma38	mdtD	+	[COMP-AINF,COMP-AINF-POSITIONAL-IDENTIFICATION]	W 
sigma38	mdtE	+	[COMP-AINF,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	mdtF	+	[COMP-AINF,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	metK	+	[EXP-IEP,EXP-IPI,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	mglA	+	[EXP-IMP,COMP-AINF,COMP-HINF-POSITIONAL-IDENTIFICATION]	W 
sigma38	mglB	+	[EXP-IMP,COMP-AINF,COMP-HINF-POSITIONAL-IDENTIFICATION]	W 
sigma38	mglC	+	[EXP-IMP,COMP-AINF,COMP-HINF-POSITIONAL-IDENTIFICATION]	W 
sigma38	micF	+	[EXP-IEP,EXP-IPI,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	mlrA	+	[EXP-IEP,COMP-HINF,EXP-CHIP-EXO-MANUAL,HTP-HEP,COMP-AINF,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	mnmG	+	[EXP-IEP,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	mpl	+	[COMP-AINF,COMP-HINF-POSITIONAL-IDENTIFICATION]	W 
sigma38	msyB	+	[EXP-CHIP-EXO-MANUAL,HTP-HEP,COMP-AINF,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	mtn	+	[COMP-HINF-SIMILAR-TO-CONSENSUS,COMP-AINF,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	murP	+	[COMP-HINF,COMP-AINF,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	murQ	+	[COMP-HINF,COMP-AINF,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	murR	+	[COMP-HINF,COMP-AINF,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	mutS	+	[EXP-IEP,COMP-AINF,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	narU	+	[EXP-CHIP-EXO-MANUAL,HTP-HEP,COMP-HINF-SIMILAR-TO-CONSENSUS,COMP-AINF,COMP-HINF-POSITIONAL-IDENTIFICATION]	W 
sigma38	nhaA	+	[EXP-CHIP-EXO-MANUAL,HTP-HEP,EV-EXP-IDA-TRANSCRIPTION-INIT-MAPPING-PRIMER-EXTENSION-TSS,COMP-AINF]	W 
sigma38	nhaR	+	[EXP-CHIP-EXO-MANUAL,HTP-HEP,EV-EXP-IDA-TRANSCRIPTION-INIT-MAPPING-PRIMER-EXTENSION-TSS,COMP-AINF]	W 
sigma38	ompF	+	[EXP-IEP,EV-EXP-IDA-TRANSCRIPTION-INIT-MAPPING-S1]	? 
sigma38	ompN	+	[COMP-HINF,EXP-IDA,COMP-AINF]	W 
sigma38	osmB	+	[COMP-AINF,EV-EXP-IDA-TRANSCRIPTION-INIT-MAPPING-PRIMER-EXTENSION-TSS]	W 
sigma38	osmC	+	[EXP-CHIP-EXO-MANUAL,HTP-HEP,COMP-HINF-SIMILAR-TO-CONSENSUS,COMP-AINF,EV-EXP-IDA-TRANSCRIPTION-INIT-MAPPING-S1,COMP-HINF-POSITIONAL-IDENTIFICATION]	W 
sigma38	osmE	+	[COMP-HINF,EXP-IDA,EXP-IEP,EXP-CHIP-EXO-MANUAL,HTP-HEP,COMP-HINF-SIMILAR-TO-CONSENSUS,COMP-HINF-POSITIONAL-IDENTIFICATION,COMP-AINF,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	osmF	+	[EXP-CHIP-EXO-MANUAL,HTP-HEP,COMP-AINF,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	osmY	+	[EXP-CHIP-EXO-MANUAL,HTP-HEP,COMP-HINF-SIMILAR-TO-CONSENSUS,COMP-HINF,COMP-AINF,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	otsA	+	[COMP-HINF,EXP-IEP,EXP-CHIP-EXO-MANUAL,HTP-HEP,COMP-AINF,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	otsB	+	[COMP-HINF,EXP-IEP,EXP-CHIP-EXO-MANUAL,HTP-HEP,COMP-AINF,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	oxyR	+	[COMP-HINF,EXP-IEP,COMP-AINF,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,COMP-HINF-POSITIONAL-IDENTIFICATION]	S 
sigma38	pabA	+	[EXP-IEP,EXP-CHIP-EXO-MANUAL,HTP-HEP,EXP-IPI,COMP-HINF-POSITIONAL-IDENTIFICATION,COMP-HINF,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,EXP-IDA-RNA-POLYMERASE-FOOTPRINTING,EXP-IMP]	C 
sigma38	patA	+	[EXP-IEP,EXP-CHIP-EXO-MANUAL,HTP-HEP,COMP-AINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	patD	+	[COMP-HINF,EXP-IDA,COMP-HINF-POSITIONAL-IDENTIFICATION]	W 
sigma38	pcnB	+	[COMP-HINF,EXP-IDA,EXP-IEP,COMP-AINF,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	pdeC	+	[EXP-IEP,EXP-CHIP-EXO-MANUAL,HTP-HEP,EXP-IDA-HPT-TRANSCR-INIT-M-RACE-MAP]	W 
sigma38	pdeR	+	[EXP-IEP,EXP-CHIP-EXO-MANUAL,HTP-HEP,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,COMP-AINF]	S 
sigma38	pdhR	+	[COMP-HINF,COMP-AINF,EXP-IDA-HPT-TRANSCR-INIT-M-RACE-MAP,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	C 
sigma38	pfkA	+	[COMP-HINF,EXP-IDA-HPT-TRANSCR-INIT-M-RACE-MAP,COMP-HINF-POSITIONAL-IDENTIFICATION]	S 
sigma38	pfkB	+	[COMP-AINF,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	pgi	+	[COMP-HINF,COMP-AINF,EXP-IDA-HPT-TRANSCR-INIT-M-RACE-MAP,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	C 
sigma38	pgk	+	[COMP-HINF,COMP-AINF,EXP-IDA-HPT-TRANSCR-INIT-M-RACE-MAP,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	C 
sigma38	phoU	+	[COMP-HINF,EXP-IMP,COMP-AINF,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	phr	+	[COMP-AINF,EXP-IEP,EXP-CHIP-EXO-MANUAL,HTP-HEP,COMP-HINF,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	poxB	+	[COMP-HINF,EXP-CHIP-EXO-MANUAL,HTP-HEP,COMP-AINF,EXP-IDA-HPT-TRANSCR-INIT-M-RACE-MAP,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	C 
sigma38	pphA	+	[COMP-HINF,EXP-IDA,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IMP]	S 
sigma38	ppk	+	[COMP-HINF,EXP-IEP,EXP-IDA-HPT-TRANSCR-INIT-M-RACE-MAP]	W 
sigma38	ppx	+	[COMP-HINF,EXP-IEP,EXP-IDA-HPT-TRANSCR-INIT-M-RACE-MAP]	W 
sigma38	pqiA	+	[EXP-IDA,COMP-AINF,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	pqiB	+	[EXP-IDA,COMP-AINF,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	pqiC	+	[EXP-IDA,COMP-AINF,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	proP	+	[COMP-HINF-SIMILAR-TO-CONSENSUS,COMP-AINF,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	proV	+	[EXP-IDA,COMP-AINF,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	proW	+	[EXP-IDA,COMP-AINF,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	proX	+	[EXP-IDA,COMP-AINF,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	pstA	+	[COMP-HINF,EXP-IMP,COMP-AINF,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	pstB	+	[COMP-HINF,EXP-IMP,COMP-AINF,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	pstC	+	[COMP-HINF,EXP-IMP,COMP-AINF,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	pstS	+	[EXP-IDA-TRANSCRIPTION-INIT-MAPPING,COMP-AINF,COMP-HINF-POSITIONAL-IDENTIFICATION]	S 
sigma38	puuA	+	[COMP-AINF,EXP-IEP,COMP-AINF-POSITIONAL-IDENTIFICATION,EV-EXP-IDA-TRANSCRIPTION-INIT-MAPPING-PRIMER-EXTENSION-TSS,EXP-IMP]	W 
sigma38	puuB	+	[COMP-HINF,EXP-IEP,EXP-IDA-HPT-TRANSCR-INIT-M-RACE-MAP]	W 
sigma38	puuC	+	[COMP-HINF,EXP-IEP,EXP-IDA-HPT-TRANSCR-INIT-M-RACE-MAP]	W 
sigma38	puuD	+	[EXP-IEP,EXP-IDA-HPT-TRANSCR-INIT-M-RACE-MAP,EV-EXP-IDA-TRANSCRIPTION-INIT-MAPPING-PRIMER-EXTENSION-TSS,EXP-IMP]	W 
sigma38	puuE	+	[COMP-HINF,EXP-IEP,EXP-IDA-HPT-TRANSCR-INIT-M-RACE-MAP]	W 
sigma38	puuP	+	[COMP-AINF,EXP-IEP,COMP-AINF-POSITIONAL-IDENTIFICATION,EV-EXP-IDA-TRANSCRIPTION-INIT-MAPPING-PRIMER-EXTENSION-TSS,EXP-IMP]	W 
sigma38	puuR	+	[EXP-IEP,EXP-IDA-HPT-TRANSCR-INIT-M-RACE-MAP,EV-EXP-IDA-TRANSCRIPTION-INIT-MAPPING-PRIMER-EXTENSION-TSS,EXP-IMP]	W 
sigma38	pykA	+	[COMP-HINF,EXP-IDA-HPT-TRANSCR-INIT-M-RACE-MAP]	W 
sigma38	pykF	+	[COMP-HINF,EXP-IDA-HPT-TRANSCR-INIT-M-RACE-MAP]	W 
sigma38	ravA	+	[COMP-HINF,EXP-IDA-HPT-TRANSCR-INIT-M-RACE-MAP]	W 
sigma38	recF	+	[COMP-HINF,EXP-IMP,COMP-AINF,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,EV-EXP-IDA-TRANSCRIPTION-INIT-MAPPING-S1]	S 
sigma38	rhaR	+	[COMP-HINF,EXP-IEP,COMP-AINF,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	rhaS	+	[COMP-HINF,EXP-IEP,COMP-AINF,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	rpoE	+	[COMP-HINF,EXP-IEP,EXP-IPI,EXP-CHIP-EXO-MANUAL,HTP-HEP,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma38	rpoH	+	[COMP-HINF,EXP-IPI,EXP-IDA,COMP-AINF,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,COMP-HINF-POSITIONAL-IDENTIFICATION]	S 
sigma38	rraA	+	[COMP-AINF,EV-EXP-IDA-TRANSCRIPTION-INIT-MAPPING-PRIMER-EXTENSION-TSS,EXP-IDA-HPT-TRANSCR-INIT-M-RACE-MAP]	S 
