# License
#	# RegulonDB is free for academic/noncommercial use
# User is not entitled to change or erase data sets of the RegulonDB
# database or to eliminate copyright notices from RegulonDB. Furthermore,
# User is not entitled to expand RegulonDB or to integrate RegulonDB partly
# or as a whole into other databank systems, without prior written consent
# from CCG-UNAM.
# Please check the license at https://regulondb.ccg.unam.mx/manual/aboutUs/terms-conditions
# Citation
#	# Heladia Salgado, Socorro Gama-Castro, et al., RegulonDB v12.0: a comprehensive resource of transcriptional regulation in E. coli K-12,
# Nucleic Acids Research, 2023;, gkad1072, https://doi.org/10.1093/nar/gkad1072
# RegulonDB Release: 14.5
# Contact
#	email:regulondb@ccg.unam.mx
#Date:
#	06-02-2026
## Columns:
## (1) tuId. Transcription Unit identifier assigned by RegulonDB
## (2) tuName. Transcription unit name 
## (3) operonId. Operon id containing the transcription uni 
## (4) operonName. Operon name containing the transcription unit
## (5) tuGenesIds. Ids of the gene(s) contained in the transcription unit
## (6) tuGenesNames. Names of the gene(s) contained in the transcription unit
## (7) promoterId. Promoter Id
## (8) promoterName. Promoter Name
## (9) promoterPos. Transcription start site of promoter(10) terminatorIds. Ids of the terminators associated to transcription unit
##(11) sigmaFactor. Sigma Factor associated to 
##(12) tfsIds. transcription Factors ids that regulates the transcription Unit
##(13) tfsNames. transcription Factors names that regulates the transcription Unit
##(14) tuGenesBnumber. bnumbers of the tu genes
##(15) firstGenePos. start position of the first tu gene
##(16) lastGenePos. end position of the first tu gene
##(17) terminatorPositions. positions of the terminator
##(18) DBXRef. id of the TU in Ecocyc
##
1)tuId	2)tuName	3)operonId	4)operonName	5)tuGenesIds	6)tuGenesNames	7)promoterId	8)promoterName	9)promoterPos	10)terminatorIds	11)sigmaFactor	12)tfsIds	13)tfsNames	14)tuGenesBnumber	15)firstGenePos	16)lastGenePos	17)terminatorPositions	18)DBXRef 
RDBECOLITUC00789	yfaX-rhmD	RDBECOLIOPC02898	yfaX-rhmD	RDBECOLIGNC04027,RDBECOLIGNC04026	yfaX|rhmD								b2248|b2247	2362211	2360209		Ecocyc:TU0-13566 
RDBECOLITUC00790	yfaY	RDBECOLIOPC00062	yfaY	RDBECOLIGNC04028	yfaY	RDBECOLIPMC00118	yfaYp	2363655					b2249	2363633	2362431		Ecocyc:TU0-13567 
RDBECOLITUC00791	yfaZ	RDBECOLIOPC00094	yfaZ	RDBECOLIGNC04029	yfaZ								b2250	2364275	2363733		Ecocyc:TU0-13568 
RDBECOLITUC00792	arnBCADTEF	RDBECOLIOPC00560	arnBCADTEF	RDBECOLIGNC04037,RDBECOLIGNC02597,RDBECOLIGNC04036,RDBECOLIGNC04035,RDBECOLIGNC04034,RDBECOLIGNC04033,RDBECOLIGNC04032	arnF|arnE|arnT|arnD|arnA|arnC|arnB						RDBECOLITFC00138	BasR	b2258|b4544|b2257|b2256|b2255|b2254|b2253	2365910	2373278		Ecocyc:TU0-13569 
RDBECOLITUC00793	pmrD	RDBECOLIOPC01036	pmrD	RDBECOLIGNC04038	pmrD								b2259	2373538	2373272		Ecocyc:TU0-13570 
RDBECOLITUC00794	elaB	RDBECOLIOPC02510	elaB	RDBECOLIGNC04039	elaB	RDBECOLIPMC03183	elaBp	2381053		sigma38	RDBECOLITFC00188,RDBECOLITFC00188,RDBECOLITFC00126	OxyR,OxyR,Rob	b2266	2381027	2380722		Ecocyc:TU0-13571 
RDBECOLITUC00795	elaA	RDBECOLIOPC02014	elaA	RDBECOLIGNC04040	elaA								b2267	2381543	2381082		Ecocyc:TU0-13572 
RDBECOLITUC00796	rbn	RDBECOLIOPC01877	rbn	RDBECOLIGNC04041	rbn	RDBECOLIPMC02611	rbnp	2381582		sigma70			b2268	2381608	2382525		Ecocyc:TU0-13573 
RDBECOLITUC00797	elaD	RDBECOLIOPC00207	elaD	RDBECOLIGNC04042	elaD								b2269	2382713	2383924		Ecocyc:TU0-13574 
RDBECOLITUC00798	yfbL	RDBECOLIOPC01569	yfbL	RDBECOLIGNC04044	yfbL						RDBECOLITFC00104	Nac	b2271	2385860	2386831		Ecocyc:TU0-13575 
RDBECOLITUC00799	yfbM	RDBECOLIOPC00391	yfbM	RDBECOLIGNC04045	yfbM								b2272	2386934	2387437		Ecocyc:TU0-13576 
RDBECOLITUC00800	yfbO	RDBECOLIOPC02407	yfbO	RDBECOLIGNC04047	yfbO								b2274	2388635	2389057		Ecocyc:TU0-13577 
RDBECOLITUC00801	yfbP	RDBECOLIOPC01966	yfbP	RDBECOLIGNC04048	yfbP								b2275	2389116	2389964		Ecocyc:TU0-13578 
RDBECOLITUC00802	alaA	RDBECOLIOPC02846	alaA-yfbR	RDBECOLIGNC04049	alaA	RDBECOLIPMC01611	alaAp9	2407408		sigma32	RDBECOLITFC00110	Lrp	b2290	2407561	2408778		Ecocyc:TU0-13579 
RDBECOLITUC00803	yfbR	RDBECOLIOPC02846	alaA-yfbR	RDBECOLIGNC04050	yfbR	RDBECOLIPMC01612	yfbRp3	2408831		sigma32	RDBECOLITFC00038	CysB	b2291	2408862	2409461		Ecocyc:TU0-13580 
RDBECOLITUC00804	yfbS	RDBECOLIOPC01841	yfbS	RDBECOLIGNC04051	yfbS								b2292	2411352	2409520		Ecocyc:TU0-13581 
RDBECOLITUC00805	yfbU-hxpA	RDBECOLIOPC00566	yfbU-hxpA	RDBECOLIGNC04053,RDBECOLIGNC04052	yfbU|hxpA	RDBECOLIPMC02493	yfbUp	2412594					b2294|b2293	2412594	2411439		Ecocyc:TU0-13582 
RDBECOLITUC00806	yfbV	RDBECOLIOPC00574	yfbV	RDBECOLIGNC04054	yfbV						RDBECOLITFC00104	Nac	b2295	2413132	2412677		Ecocyc:TU0-13583 
RDBECOLITUC00807	yfcC	RDBECOLIOPC01601	yfcC	RDBECOLIGNC04055	yfcC								b2298	2417081	2418601		Ecocyc:TU0-13584 
RDBECOLITUC00808	yfcD	RDBECOLIOPC01291	yfcD	RDBECOLIGNC04056	yfcD	RDBECOLIPMC03182	yfcDp						b2299	2419176	2418634		Ecocyc:TU0-13585 
RDBECOLITUC00809	yfcE	RDBECOLIOPC01201	yfcE	RDBECOLIGNC04057	yfcE	RDBECOLIPMC03196	yfcEp						b2300	2419788	2419234		Ecocyc:TU0-13586 
RDBECOLITUC00810	yfcF	RDBECOLIOPC00840	yfcF	RDBECOLIGNC04058	yfcF								b2301	2420485	2419841		Ecocyc:TU0-13587 
RDBECOLITUC00811	yfcG	RDBECOLIOPC02040	yfcG	RDBECOLIGNC04059	yfcG								b2302	2420621	2421268		Ecocyc:TU0-13588 
RDBECOLITUC00812	folX-yfcH	RDBECOLIOPC00694	folX-yfcH	RDBECOLIGNC04061,RDBECOLIGNC04060	yfcH|folX	RDBECOLIPMC03185	folXp						b2304|b2303	2421325	2422601		Ecocyc:TU0-13589 
RDBECOLITUC00813	rpnB	RDBECOLIOPC01324	rpnB	RDBECOLIGNC04062	rpnB								b2305	2423539	2422649		Ecocyc:TU0-13590 
RDBECOLITUC00814	folC-dedD	RDBECOLIOPC02487	folC-dedD	RDBECOLIGNC00321,RDBECOLIGNC00212	folC|dedD				RDBECOLITMC00214				b2315|b2314	2432942	2431022	2430850-2430904	Ecocyc:TU0-13591 
RDBECOLITUC00815	yfcJ	RDBECOLIOPC01785	yfcJ	RDBECOLIGNC04063	yfcJ								b2322	2440120	2438942		Ecocyc:TU0-13592 
RDBECOLITUC00816	prmB-aroC-mepA-yfcA-epmC-yfcL	RDBECOLIOPC00281	prmB-aroC-mepA-yfcA-epmC-yfcL	RDBECOLIGNC02296,RDBECOLIGNC00071,RDBECOLIGNC00572,RDBECOLIGNC01127,RDBECOLIGNC04066,RDBECOLIGNC04065	prmB|aroC|mepA|yfcA|epmC|yfcL								b2330|b2329|b2328|b2327|b2326|b2325	2448440	2443891		Ecocyc:TU0-13593 
RDBECOLITUC00817	yfcUSRQPO	RDBECOLIOPC01136	yfcUSRQPO	RDBECOLIGNC04073,RDBECOLIGNC04072,RDBECOLIGNC04071,RDBECOLIGNC04070,RDBECOLIGNC04069,RDBECOLIGNC04068	yfcU|yfcS|yfcR|yfcQ|yfcP|yfcO								b4661|b2336|b2335|b2334|b2333|b2332	2455001	2449228		Ecocyc:TU0-13594 
RDBECOLITUC00818	yfcV	RDBECOLIOPC01320	yfcV	RDBECOLIGNC04074	yfcV								b2339	2455646	2455083		Ecocyc:TU0-13595 
RDBECOLITUC00819	yfcZ	RDBECOLIOPC01720	yfcZ	RDBECOLIGNC04078	yfcZ	RDBECOLIPMC00119	yfcZp	2460979					b2343	2460934	2460650		Ecocyc:TU0-13597 
RDBECOLITUC00820	yfdF	RDBECOLIOPC00856	yfdF	RDBECOLIGNC04079	yfdF								b2345	2463012	2464070		Ecocyc:TU0-13598 
RDBECOLITUC00821	yfdC	RDBECOLIOPC00908	yfdC	RDBECOLIGNC04081	yfdC						RDBECOLITFC00079	GlaR	b2347	2465301	2466233		Ecocyc:TU0-13599 
RDBECOLITUC00822	intS	RDBECOLIOPC02032	intS	RDBECOLIGNC04082	intS	RDBECOLIPMC00515	intSp	2466515		sigma70			b2349	2466545	2467702		Ecocyc:TU0-13600 
RDBECOLITUC00823	yfdGHI	RDBECOLIOPC00229	yfdGHI	RDBECOLIGNC04085,RDBECOLIGNC04084,RDBECOLIGNC04083	yfdI|yfdH|yfdG								b2352|b2351|b2350	2467855	2470462		Ecocyc:TU0-13601 
RDBECOLITUC00824	tfaS	RDBECOLIOPC01650	tfaS	RDBECOLIGNC04086	tfaS								b2353	2470803	2471105		Ecocyc:TU0-13602 
RDBECOLITUC00825	yfdONMLK	RDBECOLIOPC01914	yfdONMLK	RDBECOLIGNC04091,RDBECOLIGNC04090,RDBECOLIGNC04089,RDBECOLIGNC04088,RDBECOLIGNC04087	yfdO|yfdN|yfdM|yfdL|yfdK						RDBECOLITFC00024,RDBECOLITFC00024,RDBECOLITFC00024,RDBECOLITFC00024	SrsR,SrsR,SrsR,SrsR	b2358|b2357|b2356|b2355|b2354	2473246	2471077		Ecocyc:TU0-13603 
RDBECOLITUC00826	yfdPQ	RDBECOLIOPC00239	yfdPQ	RDBECOLIGNC04093,RDBECOLIGNC04092	yfdQ|yfdP						RDBECOLITFC00024,RDBECOLITFC00024,RDBECOLITFC00024,RDBECOLITFC00024	SrsR,SrsR,SrsR,SrsR	b2360|b2359	2473604	2474856		Ecocyc:TU0-13604 
RDBECOLITUC00827	yfdRST	RDBECOLIOPC00684	yfdRST	RDBECOLIGNC04096,RDBECOLIGNC04095,RDBECOLIGNC04094	yfdT|yfdS|yfdR								b2363|b2362|b2361	2474984	2476178		Ecocyc:TU0-13605 
RDBECOLITUC00828	ypdJ	RDBECOLIOPC02233	ypdJ	RDBECOLIGNC02598	ypdJ								b4545	2476094	2476234		Ecocyc:TU0-13606 
RDBECOLITUC00829	torI	RDBECOLIOPC02237	torI	RDBECOLIGNC02977	torI						RDBECOLITFC00104	Nac	b4501	2476310	2476510		Ecocyc:TU0-13607 
RDBECOLITUC00830	yfdE	RDBECOLIOPC02926	yfdV	RDBECOLIGNC04098	yfdE						RDBECOLITFC00104	Nac	b2371	2489168	2488023		Ecocyc:TU0-13608 
RDBECOLITUC00831	yfdV	RDBECOLIOPC02926	yfdV	RDBECOLIGNC04099	yfdV						RDBECOLITFC00104	Nac	b2372	2490186	2489242		Ecocyc:TU0-13609 
RDBECOLITUC00832	oxc	RDBECOLIOPC02926	yfdV	RDBECOLIGNC04100	oxc								b2373	2491950	2490256		Ecocyc:TU0-13610 
RDBECOLITUC00833	tpke70	RDBECOLIOPC01615	tpke70	RDBECOLIGNC02940	tpke70									2496629	2496194		Ecocyc:TU0-13611 
RDBECOLITUC00834	alaC	RDBECOLIOPC01939	alaC	RDBECOLIGNC04106	alaC	RDBECOLIPMC03099	alaCp	2498399		sigma70	RDBECOLITFC00215	SgrR	b2379	2498295	2497057		Ecocyc:TU0-13612 
RDBECOLITUC00835	pyrSR-ypdC	RDBECOLIOPC01080	pyrSR-ypdC	RDBECOLIGNC04109,RDBECOLIGNC04108,RDBECOLIGNC04107	ypdC|pyrR|pyrS								b2382|b2381|b2380	2498671	2501987		Ecocyc:TU0-13613 
RDBECOLITUC00836	fryBC-ypdFE-fryA	RDBECOLIOPC02084	fryBC-ypdFE-fryA	RDBECOLIGNC04114,RDBECOLIGNC04113,RDBECOLIGNC04112,RDBECOLIGNC04111,RDBECOLIGNC04110	fryB|fryC|ypdF|ypdE|fryA								b2387|b2386|b2385|b2384|b2383	2508242	2501990		Ecocyc:TU0-13614 
RDBECOLITUC00837	yfeO	RDBECOLIOPC01325	yfeO	RDBECOLIGNC04115	yfeO								b2389	2509630	2510886		Ecocyc:TU0-13615 
RDBECOLITUC00838	ypeC	RDBECOLIOPC01287	ypeC	RDBECOLIGNC04116	ypeC								b2390	2511001	2511327		Ecocyc:TU0-13616 
RDBECOLITUC00839	insL3	RDBECOLIOPC00142	insL3	RDBECOLIGNC04118	insL3								b2394	2514331	2515443		Ecocyc:TU0-13617 
RDBECOLITUC00840	pdeA	RDBECOLIOPC01293	pdeA	RDBECOLIGNC01128	pdeA								b2395	2517832	2515643		Ecocyc:TU0-13618 
RDBECOLITUC00841	ligA-ypeB	RDBECOLIOPC01696	ligA-ypeB	RDBECOLIGNC00526,RDBECOLIGNC02599	ligA|ypeB	RDBECOLIPMC00122	ligAp	2530201					b2411|b4546	2530176	2527941		Ecocyc:TU0-13620 
RDBECOLITUC00842	zipA	RDBECOLIOPC00389	zipA	RDBECOLIGNC04121	zipA								b2412	2531233	2530247		Ecocyc:TU0-13621 
RDBECOLITUC00843	cysZ	RDBECOLIOPC00523	cysZ	RDBECOLIGNC00003	cysZ								b2413	2531463	2532224		Ecocyc:TU0-13622 
RDBECOLITUC00844	ucpA	RDBECOLIOPC00595	ucpA	RDBECOLIGNC02030	ucpA	RDBECOLIPMC00125	ucpAp1	2544664					b2426	2544623	2543832		Ecocyc:TU0-13623 
RDBECOLITUC00845	murR	RDBECOLIOPC00744	murR	RDBECOLIGNC04125	murR	RDBECOLIPMC00250	murRp	2545793		sigma70	RDBECOLITFC00069,RDBECOLITFC00069	MurR,MurR	b2427	2545609	2544752		Ecocyc:TU0-13624 
RDBECOLITUC00846	murQP-yfeW	RDBECOLIOPC02937	murQP-yfeW	RDBECOLIGNC04128,RDBECOLIGNC04127,RDBECOLIGNC04126	yfeW|murP|murQ								b2430|b2429|b2428	2545773	2549406		Ecocyc:TU0-13625 
RDBECOLITUC00847	ypeA-yfeZ	RDBECOLIOPC02051	ypeA-yfeZ	RDBECOLIGNC04132,RDBECOLIGNC04131	ypeA|yfeZ								b2434|b2433	2552138	2551277		Ecocyc:TU0-13626 
RDBECOLITUC00848	eutBCLKR	RDBECOLIOPC00604	eutBCLKR	RDBECOLIGNC02560,RDBECOLIGNC02561,RDBECOLIGNC04134,RDBECOLIGNC04133,RDBECOLIGNC02074	eutB|eutC|eutL|eutK|eutR								b2441|b2440|b2439|b2438|b2437	2558679	2554130		Ecocyc:TU0-13627 
RDBECOLITUC00849	intZ	RDBECOLIOPC01417	intZ	RDBECOLIGNC04135	intZ								b2442	2558858	2560066		Ecocyc:TU0-13628 
RDBECOLITUC00850	yffL	RDBECOLIOPC00787	yffL	RDBECOLIGNC04136	yffL								b2443	2560257	2560898		Ecocyc:TU0-13629 
RDBECOLITUC00851	yffMN	RDBECOLIOPC00820	yffMN	RDBECOLIGNC04138,RDBECOLIGNC04137	yffN|yffM								b2445|b2444	2561368	2561993		Ecocyc:TU0-13630 
RDBECOLITUC00852	yffQR	RDBECOLIOPC00538	yffQR	RDBECOLIGNC04142,RDBECOLIGNC04141	yffR|yffQ								b2449|b2448	2563592	2564372		Ecocyc:TU0-13632 
RDBECOLITUC00853	yffS	RDBECOLIOPC00044	yffS	RDBECOLIGNC04143	yffS								b2450	2564523	2565332		Ecocyc:TU0-13633 
RDBECOLITUC00854	eutHA	RDBECOLIOPC02819	eutSPQTDMNEJGHA	RDBECOLIGNC04145,RDBECOLIGNC04144	eutH|eutA						RDBECOLITFC00071,RDBECOLITFC00071	HipB,HipB	b2452|b2451	2568107	2565481		Ecocyc:TU0-13634 
RDBECOLITUC00855	eutNEJG	RDBECOLIOPC02819	eutSPQTDMNEJGHA	RDBECOLIGNC04149,RDBECOLIGNC04148,RDBECOLIGNC04147,RDBECOLIGNC04146	eutN|eutE|eutJ|eutG								b2456|b2455|b2454|b2453	2572050	2568324		Ecocyc:TU0-13635 
RDBECOLITUC00856	eutSPQTDMNEJGHA	RDBECOLIOPC02819	eutSPQTDMNEJGHA	RDBECOLIGNC04144,RDBECOLIGNC04145,RDBECOLIGNC04146,RDBECOLIGNC04147,RDBECOLIGNC04148,RDBECOLIGNC04149,RDBECOLIGNC04155,RDBECOLIGNC04154,RDBECOLIGNC04153,RDBECOLIGNC04152,RDBECOLIGNC04151,RDBECOLIGNC04150	eutA|eutH|eutG|eutJ|eutE|eutN|eutS|eutP|eutQ|eutT|eutD|eutM						RDBECOLITFC00171	NagC	b2451|b2452|b2453|b2454|b2455|b2456|b2462|b2461|b2460|b2459|b2458|b2457	2575805	2565481		Ecocyc:TU0-13636 
RDBECOLITUC00857	maeB	RDBECOLIOPC00651	maeB	RDBECOLIGNC04156	maeB								b2463	2578377	2576098		Ecocyc:TU0-13637 
RDBECOLITUC00858	ypfG	RDBECOLIOPC00073	ypfG	RDBECOLIGNC04157	ypfG								b2466	2582777	2581734		Ecocyc:TU0-13638 
RDBECOLITUC00859	nudK	RDBECOLIOPC00362	nudK	RDBECOLIGNC02266	nudK								b2467	2583478	2582903		Ecocyc:TU0-13639 
RDBECOLITUC00860	aegA	RDBECOLIOPC00721	aegA	RDBECOLIGNC02265	aegA						RDBECOLITFC00086	CRP	b2468	2585525	2583546		Ecocyc:TU0-13640 
RDBECOLITUC00861	narQ	RDBECOLIOPC00531	narQ	RDBECOLIGNC01422	narQ	RDBECOLIPMC00558	narQp	2585577			RDBECOLITFC00086	CRP	b2469	2585731	2587431		Ecocyc:TU0-13641 
RDBECOLITUC00862	yffB-dapE-ypfN	RDBECOLIOPC00598	yffB-dapE-ypfN	RDBECOLIGNC02600,RDBECOLIGNC00202,RDBECOLIGNC01130	ypfN|dapE|yffB	RDBECOLIPMC03081	yffBp			sigma70			b4547|b2472|b2471	2591247	2592962		Ecocyc:TU0-13642 
RDBECOLITUC00863	ypfH	RDBECOLIOPC00472	ypfH	RDBECOLIGNC04158	ypfH								b2473	2593770	2593072		Ecocyc:TU0-13643 
RDBECOLITUC00864	ypfJ-tmcA	RDBECOLIOPC00205	ypfJ-tmcA	RDBECOLIGNC04160,RDBECOLIGNC04159	ypfJ|tmcA								b2475|b2474	2596737	2593844		Ecocyc:TU0-13644 
RDBECOLITUC00865	hda	RDBECOLIOPC01133	hda	RDBECOLIGNC04174	hda	RDBECOLIPMC03184	hdap						b2496	2618776	2618075		Ecocyc:TU0-13646 
RDBECOLITUC00866	yfgG	RDBECOLIOPC01985	yfgG	RDBECOLIGNC04176	yfgG	RDBECOLIPMC00560	yfgGp	2629252		sigma70			b2504	2629290	2629481		Ecocyc:TU0-13647 
RDBECOLITUC00867	yfgHI	RDBECOLIOPC02146	yfgHI	RDBECOLIGNC04178,RDBECOLIGNC04177	yfgI|yfgH								b2506|b2505	2629792	2630865		Ecocyc:TU0-13648 
RDBECOLITUC00868	yfgJ	RDBECOLIOPC01125	yfgJ	RDBECOLIGNC04179	yfgJ								b2510	2635814	2635599		Ecocyc:TU0-13649 
RDBECOLITUC00869	rlmN	RDBECOLIOPC01240	rlmN	RDBECOLIGNC02258	rlmN								b2517	2644283	2643129		Ecocyc:TU0-13650 
RDBECOLITUC00870	ndk	RDBECOLIOPC01289	ndk	RDBECOLIGNC00642	ndk						RDBECOLITFC00133	ArcA	b2518	2644864	2644433		Ecocyc:TU0-13651 
RDBECOLITUC00871	yfhM-pbpC	RDBECOLIOPC00246	yfhM-pbpC	RDBECOLIGNC04184,RDBECOLIGNC04183	yfhM|pbpC	RDBECOLIPMC00132	yfhMp	2652324					b2520|b2519	2652287	2645013		Ecocyc:TU0-13652 
RDBECOLITUC00872	ryfA-timP	RDBECOLIOPC00443	ryfA-timP	RDBECOLIGNC02861,RDBECOLIGNC02916	timP|ryfA								b4812|b4440	2653855	2654158		Ecocyc:TU0-13654 
RDBECOLITUC00873	sseB	RDBECOLIOPC00491	sseB	RDBECOLIGNC01548	sseB								b2522	2654933	2654157		Ecocyc:TU0-13655 
RDBECOLITUC00874	pepB	RDBECOLIOPC00083	pepB	RDBECOLIGNC02182	pepB								b2523	2656358	2655075		Ecocyc:TU0-13656 
RDBECOLITUC00875	trmJ	RDBECOLIOPC00711	trmJ	RDBECOLIGNC04188	trmJ								b2532	2663323	2662583		Ecocyc:TU0-13657 
RDBECOLITUC00876	suhB	RDBECOLIOPC00499	suhB	RDBECOLIGNC00971	suhB								b2533	2663442	2664245		Ecocyc:TU0-13658 
RDBECOLITUC00877	yfhR	RDBECOLIOPC00983	yfhR	RDBECOLIGNC04189	yfhR								b2534	2664390	2665244		Ecocyc:TU0-13659 
RDBECOLITUC00878	hcaT	RDBECOLIOPC01907	hcaT	RDBECOLIGNC04191	hcaT								b2536	2667846	2666707		Ecocyc:TU0-13660 
RDBECOLITUC00879	yphA	RDBECOLIOPC01065	yphA	RDBECOLIGNC04196	yphA								b2543	2673346	2673768		Ecocyc:TU0-13661 
RDBECOLITUC00880	yphCB	RDBECOLIOPC00984	yphCB	RDBECOLIGNC04198,RDBECOLIGNC04197	yphC|yphB								b2545|b2544	2675761	2673816		Ecocyc:TU0-13662 
RDBECOLITUC00881	yphFED	RDBECOLIOPC02386	yphFED	RDBECOLIGNC04201,RDBECOLIGNC04200,RDBECOLIGNC04199	yphF|yphE|yphD								b2548|b2547|b2546	2679367	2675827		Ecocyc:TU0-13663 
RDBECOLITUC00882	yphG	RDBECOLIOPC01246	yphG	RDBECOLIGNC04202	yphG								b2549	2682745	2679464		Ecocyc:TU0-13664 
RDBECOLITUC00883	glmY	RDBECOLIOPC02669	glmY	RDBECOLIGNC02943	glmY	RDBECOLIPMC03121	glmYp1	2691340	RDBECOLITMC00089	sigma54	RDBECOLITFC00083,RDBECOLITFC00083,RDBECOLITFC00083,RDBECOLITFC00140,RDBECOLITFC00140	GlrR,GlrR,GlrR,IHF,IHF	b4441	2691340	2691157	2691157-2691185	Ecocyc:TU0-13666 
RDBECOLITUC00884	pgpC-tadA	RDBECOLIOPC00032	pgpC-tadA	RDBECOLIGNC01338,RDBECOLIGNC01339	pgpC|tadA	RDBECOLIPMC00317	pgpCp	2698638		sigma32	RDBECOLITFC00005	NsrR	b2560|b2559	2698550	2697354		Ecocyc:TU0-13667 
RDBECOLITUC00885	yfhH	RDBECOLIOPC01690	yfhH	RDBECOLIGNC02180	yfhH								b2561	2698759	2699607		Ecocyc:TU0-13668 
RDBECOLITUC00886	yfhL	RDBECOLIOPC01237	yfhL	RDBECOLIGNC04205	yfhL	RDBECOLIPMC03189	yfhLp						b2562	2699663	2699923		Ecocyc:TU0-13669 
RDBECOLITUC00887	tapT-patZ	RDBECOLIOPC02777	tapT-patZ	RDBECOLIGNC04209,RDBECOLIGNC04208	patZ|tapT								b2584|b2583	2719223	2722613		Ecocyc:TU0-13671 
RDBECOLITUC00888	pssLA	RDBECOLIOPC02367	pssLA	RDBECOLIGNC02830,RDBECOLIGNC00771	pssL|pssA	RDBECOLIPMC01702	pssAp	2722668		sigma70			b4782|b2585	2722702	2724082		Ecocyc:TU0-13672 
RDBECOLITUC00889	yfiM	RDBECOLIOPC00833	yfiM	RDBECOLIGNC02399	yfiM								b2586	2724128	2724451		Ecocyc:TU0-13673 
RDBECOLITUC00890	kgtP	RDBECOLIOPC01845	kgtP	RDBECOLIGNC00514	kgtP						RDBECOLITFC00133	ArcA	b2587	2725746	2724448		Ecocyc:TU0-13674 
RDBECOLITUC00891	rluD-pgeF	RDBECOLIOPC00377	rluD-pgeF	RDBECOLIGNC01999,RDBECOLIGNC01998	rluD|yfiH								b2594|b2593	2736011	2734303		Ecocyc:TU0-13675 
RDBECOLITUC00892	raiAZ	RDBECOLIOPC00459	raiAZ	RDBECOLIGNC02854,RDBECOLIGNC01133	raiZ|raiA	RDBECOLIPMC03250	raiAp	2737104	RDBECOLITMC00201	sigma32	RDBECOLITFC00086	CRP	b4805|b2597	2737154	2737542	2737498-2737552	Ecocyc:TU0-13677 
RDBECOLITUC00893	yfiL	RDBECOLIOPC01464	yfiL	RDBECOLIGNC02294	yfiL								b2602	2741360	2741725		Ecocyc:TU0-13678 
RDBECOLITUC00894	yfiR-dgcN-yfiB	RDBECOLIOPC02902	yfiR-dgcN-yfiB	RDBECOLIGNC01134,RDBECOLIGNC02414,RDBECOLIGNC04212	yfiB|dgcN|yfiR	RDBECOLIPMC02512	yfiRp	2741824	RDBECOLITMC00231	sigma70	RDBECOLITFC00199	YjjQ	b2605|b2604|b2603	2741875	2744107	2744115-2744169	Ecocyc:TU0-13679 
RDBECOLITUC00895	ffh	RDBECOLIOPC01459	ffh	RDBECOLIGNC00294	ffh	RDBECOLIPMC00134	ffhp	2747853	RDBECOLITMC00052				b2610	2747795	2746434	2746209-2746241	Ecocyc:TU0-13680 
RDBECOLITUC00896	ypjD	RDBECOLIOPC02044	ypjD	RDBECOLIGNC04213	ypjD								b2611	2747962	2748753		Ecocyc:TU0-13681 
RDBECOLITUC00897	yfjD	RDBECOLIOPC00141	yfjD	RDBECOLIGNC02290	yfjD						RDBECOLITFC00079	GlaR	b4461	2748774	2750060		Ecocyc:TU0-13682 
RDBECOLITUC00898	nadK	RDBECOLIOPC00866	nadK	RDBECOLIGNC02076	nadK								b2615	2750831	2751709		Ecocyc:TU0-13683 
RDBECOLITUC00899	ratA-yfjF	RDBECOLIOPC00470	ratA-yfjF	RDBECOLIGNC04215,RDBECOLIGNC04214	ratA|yfjF								b2619|b2618	2754764	2754008		Ecocyc:TU0-13685 
RDBECOLITUC00900	smpB	RDBECOLIOPC02041	smpB	RDBECOLIGNC01713	smpB								b2620	2754896	2755378		Ecocyc:TU0-13686 
RDBECOLITUC00901	intA	RDBECOLIOPC02104	intA	RDBECOLIGNC01714	intA						RDBECOLITFC00135	AlpA	b2622	2756159	2757400		Ecocyc:TU0-13688 
RDBECOLITUC00902	alpA	RDBECOLIOPC01184	alpA	RDBECOLIGNC02011	alpA								b2624	2758644	2758856		Ecocyc:TU0-13689 
RDBECOLITUC00903	yfjI	RDBECOLIOPC02052	yfjI	RDBECOLIGNC04217	yfjI						RDBECOLITFC00104	Nac	b2625	2758985	2760394		Ecocyc:TU0-13690 
RDBECOLITUC00904	yfjJ	RDBECOLIOPC00371	yfjJ	RDBECOLIGNC04218	yfjJ								b2626	2760547	2761173		Ecocyc:TU0-13691 
RDBECOLITUC00905	abpAB	RDBECOLIOPC00126	abpAB	RDBECOLIGNC04220,RDBECOLIGNC04219	abpA|abpB								b2628|b2627	2765153	2761351		Ecocyc:TU0-13692 
RDBECOLITUC00906	yfjM	RDBECOLIOPC00301	yfjM	RDBECOLIGNC04221	yfjM								b2629	2765776	2765513		Ecocyc:TU0-13693 
RDBECOLITUC00907	yfjPQ	RDBECOLIOPC00120	yfjPQ	RDBECOLIGNC04225,RDBECOLIGNC04224	yfjQ|yfjP								b2633|b2632	2767710	2769486		Ecocyc:TU0-13694 
RDBECOLITUC00908	yfjR-ypjK-yfjS-yfjT	RDBECOLIOPC02153	yfjR-ypjK-yfjS-yfjT	RDBECOLIGNC04229,RDBECOLIGNC04228,RDBECOLIGNC04227,RDBECOLIGNC04226	yfjT|yfjS|ypjK|yfjR								b2637|b2636|b2635|b2634	2769703	2771615		Ecocyc:TU0-13695 
