# License
#	# RegulonDB is free for academic/noncommercial use
# User is not entitled to change or erase data sets of the RegulonDB
# database or to eliminate copyright notices from RegulonDB. Furthermore,
# User is not entitled to expand RegulonDB or to integrate RegulonDB partly
# or as a whole into other databank systems, without prior written consent
# from CCG-UNAM.
# Please check the license at https://regulondb.ccg.unam.mx/manual/aboutUs/terms-conditions
# Citation
#	# Heladia Salgado, Socorro Gama-Castro, et al., RegulonDB v12.0: a comprehensive resource of transcriptional regulation in E. coli K-12,
# Nucleic Acids Research, 2023;, gkad1072, https://doi.org/10.1093/nar/gkad1072
# RegulonDB Release: 14.5
# Contact
#	email:regulondb@ccg.unam.mx
#Date:
#	06-02-2026
## Columns:
## (1) Operon ID
#(2) Operon name
## (3) First gene-position left
## (4) Last gene-position right
## (5) DNA strand where the operon is coded
## (6) Number of genes contained in the operon
## (7) Name or Blattner number of the gene(s) contained in the operon
## (8) Evidence that support the existence of the operon's TUs
## (9) Evidence confidence level (Confirmed, Strong, Weak)
1)operonId	2)operonName	3)firstGeneLeftPos	4)lastGeneRightPos	5)strand	6)numberOfGenes	7)operonGenes	8)operonEvidence	9)confidenceLevel 
RDBECOLIOPC00617	yciK-btuR	1327767	1329112	reverse	2	yciK|btuR	[COMP-AINF:W]	W 
RDBECOLIOPC00618	insE5EF5F5	2170236	2171398	forward	3	insE5|insEF5|insF5	[COMP-AINF:W]	W 
RDBECOLIOPC00619	mdtK	1743457	1744830	forward	1	mdtK	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00620	ynfO-ydfO	1636756	1637457	forward	2	ynfO|ydfO	[COMP-AINF:W]	W 
RDBECOLIOPC00621	ubiK	3184840	3185130	forward	1	ubiK	[COMP-AINF:W]	W 
RDBECOLIOPC00622	umpG-pcm	2868893	2870274	reverse	2	umpG|pcm	[EXP-IMP-POLAR-MUTATION:S][IC-ADJ-GENES-SAME-BIO-PROCESS:W]	W 
RDBECOLIOPC00623	bdcA	4473340	4474053	reverse	1	bdcA	[COMP-AINF:W]	W 
RDBECOLIOPC00624	rihB	2254245	2255186	reverse	1	rihB	[COMP-AINF:W]	W 
RDBECOLIOPC00625	yohC	2225044	2225631	reverse	1	yohC	[COMP-AINF:W]	W 
RDBECOLIOPC00626	yhcADE	3362112	3366929	forward	3	yhcA|yhcD|yhcE	[COMP-AINF:W]	W 
RDBECOLIOPC00627	ydiY	1805325	1806083	reverse	1	ydiY	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00628	yhaKL	3254319	3255207	forward	2	yhaK|yhaL	[COMP-AINF:W]	W 
RDBECOLIOPC00629	aas-lplT	2972669	2976014	reverse	2	aas|lplT	[COMP-AINF:W]	W 
RDBECOLIOPC00630	yehLMPQ	2204596	2210944	forward	4	yehL|yehM|yehP|yehQ	[COMP-AINF:W]	W 
RDBECOLIOPC00631	aroG	785633	786685	forward	1	aroG	[EXP-IDA-BOUNDARIES-DEFINED:W]	W 
RDBECOLIOPC00632	ubiUV	3301485	3303367	forward	2	ubiU|ubiV	[COMP-AINF:W]	W 
RDBECOLIOPC00634	hslVU	4120416	4122287	reverse	2	hslV|hslU	[EXP-IDA-BOUNDARIES-DEFINED:W][EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S]	W 
RDBECOLIOPC00636	ldtA	2062391	2063323	reverse	1	ldtA	[COMP-AINF:W]	W 
RDBECOLIOPC00637	radD	2280632	2282392	forward	1	radD	[COMP-AINF:W]	W 
RDBECOLIOPC00638	yqhC	3154262	3155218	reverse	1	yqhC	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00640	flxA	1646405	1646737	forward	1	flxA	[EXP-IDA-BOUNDARIES-DEFINED:W]	W 
RDBECOLIOPC00641	nadB	2710420	2712042	forward	1	nadB		 
RDBECOLIOPC00642	yhhZ-yrhA-insA6AB6B6	3581863	3584309	forward	5	yhhZ|yrhA|insA6|insAB6|insB6	[COMP-AINF:W]	W 
RDBECOLIOPC00643	yaeR	211877	212266	forward	1	yaeR	[COMP-AINF:W]	W 
RDBECOLIOPC00645	kefFC	47246	49631	forward	2	kefF|kefC	[COMP-AINF:W]	W 
RDBECOLIOPC00646	ytfE	4431321	4431983	reverse	1	ytfE	[EXP-IDA-BOUNDARIES-DEFINED:W][IC:W]	W 
RDBECOLIOPC00647	proS	217057	218775	reverse	1	proS	[EXP-IDA-BOUNDARIES-DEFINED:W]	W 
RDBECOLIOPC00648	yigI	4004230	4004697	reverse	1	yigI	[COMP-AINF:W]	W 
RDBECOLIOPC00649	yhhS	3610516	3611733	reverse	1	yhhS	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00650	ansA-pncA	1850860	1852528	forward	2	ansA|pncA	[EXP-IMP-POLAR-MUTATION:S]	S 
RDBECOLIOPC00651	maeB	2576098	2578377	reverse	1	maeB	[COMP-AINF:W]	W 
RDBECOLIOPC00652	yeeO	2058203	2059846	reverse	1	yeeO	[COMP-AINF:W]	W 
RDBECOLIOPC00653	uacT	3031367	3032815	forward	1	uacT	[COMP-AINF:W]	W 
RDBECOLIOPC00654	yntF-ydfK	1632890	1633305	forward	2	ynfT|ydfK	[COMP-AINF:W]	W 
RDBECOLIOPC00655	mcrA	1210346	1211179	forward	1	mcrA	[COMP-AINF:W]	W 
RDBECOLIOPC00656	asnA	3927155	3928147	forward	1	asnA	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00657	ycbC	972622	973401	reverse	1	elyC	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00658	rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ	3442618	3448149	reverse	12	rplN|rplX|rplE|rpsN|rpsH|rplF|rplR|rpsE|rpmD|rplO|secY|rpmJ	[IC-ADJ-GENES-SAME-BIO-PROCESS:W]	W 
RDBECOLIOPC00659	grxD	1733754	1734101	reverse	1	grxD	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00660	ygcNOP	2892657	2894771	forward	3	ygcN|ygcO|ygcP	[COMP-AINF:W]	W 
RDBECOLIOPC00661	yhfA	3485414	3485818	reverse	1	yhfA	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S]	S 
RDBECOLIOPC00662	ytfH	4434113	4434493	forward	1	ytfH	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00663	insN-2	4507197	4509793	forward	1	insO	[EXP-IDA-BOUNDARIES-DEFINED:W][COMP-AINF:W]	W 
RDBECOLIOPC00664	ppk-ppx	2623044	2626656	forward	2	ppk|ppx	[EXP-IEP-COREGULATION:W][EXP-IMP-POLAR-MUTATION:S]	W 
RDBECOLIOPC00665	ydjXYZ-ynjABCD	1833401	1839400	forward	7	ydjX|ydjY|ydjZ|ynjA|ynjB|ynjC|ynjD	[COMP-AINF:W]	W 
RDBECOLIOPC00666	uspB	3639385	3639720	reverse	1	uspB		 
RDBECOLIOPC00667	smg	3431991	3432464	reverse	1	smg		 
RDBECOLIOPC00668	insH-11	3652182	3653162	reverse	1	insH11	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00669	dmlR	1880886	1881809	reverse	1	dmlR	[COMP-AINF:W]	W 
RDBECOLIOPC00670	yajD	430605	430952	forward	1	yajD	[COMP-AINF:W]	W 
RDBECOLIOPC00671	yeaO	1876909	1877256	forward	1	yeaO	[COMP-AINF:W]	W 
RDBECOLIOPC00672	znuA	1941651	1942583	reverse	1	znuA	[EXP-IDA-BOUNDARIES-DEFINED:W]	W 
RDBECOLIOPC00673	rsuA	2279788	2280483	reverse	1	rsuA	[COMP-AINF:W]	W 
RDBECOLIOPC00674	proQ-prc	1912768	1915534	reverse	2	proQ|prc	[COMP-AINF:W]	W 
RDBECOLIOPC00675	mgrR	1622817	1622914	reverse	1	mgrR	[EXP-IDA-BOUNDARIES-DEFINED:W][EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S]	W 
RDBECOLIOPC00676	lysT-valT-lysW	780554	780918	forward	3	lysT|valT|lysW	[EXP-IDA-BOUNDARIES-DEFINED:W]	W 
RDBECOLIOPC00677	rihA	683477	684412	reverse	1	rihA	[COMP-AINF:W]	W 
RDBECOLIOPC00678	ydbD	1475144	1477450	forward	1	ydbD	[COMP-AINF:W]	W 
RDBECOLIOPC00679	yidE	3864612	3866273	reverse	1	yidE	[COMP-AINF:W]	W 
RDBECOLIOPC00680	pgsA	1992269	1992817	reverse	1	pgsA	[COMP-AINF:W]	W 
RDBECOLIOPC00681	galR	2976599	2977630	forward	1	galR		 
RDBECOLIOPC00682	hdeD	3656995	3657567	forward	1	hdeD		 
RDBECOLIOPC00683	ybiO	843255	845480	reverse	1	ybiO	[COMP-AINF:W]	W 
RDBECOLIOPC00684	yfdRST	2474984	2476178	forward	3	yfdR|yfdS|yfdT	[COMP-AINF:W]	W 
RDBECOLIOPC00685	psd-mscM	4386047	4390360	reverse	2	psd|mscM	[COMP-AINF:W]	W 
RDBECOLIOPC00686	sdaA	1896932	1898296	forward	1	sdaA	[EXP-IDA-BOUNDARIES-DEFINED:W]	W 
RDBECOLIOPC00687	eamA	1620238	1621137	reverse	1	eamA	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S][COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00688	sroH	4190327	4190487	reverse	1	sroH	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S][COMP-AINF:W]	W 
RDBECOLIOPC00689	yehDCBA	2187380	2192222	reverse	4	yehD|yehC|yehB|yehA	[COMP-AINF:W]	W 
RDBECOLIOPC00690	yabPQ	58474	59279	forward	2	yabP|yabQ	[COMP-AINF:W]	W 
RDBECOLIOPC00691	yhbP	3299472	3299915	reverse	1	yhbP	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00692	psuKG	2257429	2259296	reverse	2	psuK|psuG	[COMP-AINF:W]	W 
RDBECOLIOPC00693	ygdG	2931055	2931810	forward	1	ygdG	[COMP-AINF:W]	W 
RDBECOLIOPC00694	folX-yfcH	2421325	2422601	forward	2	folX|yfcH	[EXP-IDA-BOUNDARIES-DEFINED:W][COMP-AINF:W]	W 
RDBECOLIOPC00695	yceH	1126157	1126804	forward	1	yceH	[COMP-HINF:W]	W 
RDBECOLIOPC00696	ycjG	1388930	1389895	forward	1	ycjG	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00698	yafS	234816	235538	forward	1	yafS	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00699	pncB	989154	990356	reverse	1	pncB		 
RDBECOLIOPC00700	cueO	137083	138633	forward	1	cueO		 
RDBECOLIOPC00701	yncK	1503218	1503649	reverse	1	yncK	[COMP-AINF:W][IC:W]	W 
RDBECOLIOPC00702	trpR	4632760	4633086	forward	1	trpR	[EXP-IDA-BOUNDARIES-DEFINED:W]	W 
RDBECOLIOPC00703	yoaC	1894133	1894432	forward	1	yoaC	[COMP-AINF:W]	W 
RDBECOLIOPC00704	ychE	1298598	1299245	forward	1	ychE	[COMP-AINF:W]	W 
RDBECOLIOPC00705	ftsP	3161257	3162669	reverse	1	ftsP	[COMP-AINF:W]	W 
RDBECOLIOPC00706	yhiI-rbbA-yhhJ	3625679	3630602	reverse	3	yhiI|rbbA|yhhJ	[COMP-AINF:W]	W 
RDBECOLIOPC00707	ybjM	890089	890466	forward	1	ybjM	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00708	ybeL	675018	675500	forward	1	ybeL	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00709	clpS	922913	923233	forward	1	clpS	[COMP-HINF:W]	W 
RDBECOLIOPC00710	rpnA	3543167	3544045	forward	1	rpnA	[COMP-AINF:W]	W 
RDBECOLIOPC00711	trmJ	2662583	2663323	reverse	1	trmJ	[COMP-AINF:W]	W 
RDBECOLIOPC00712	ygcU	2897964	2899418	reverse	1	ygcU	[COMP-AINF:W]	W 
RDBECOLIOPC00713	fimE	4542037	4542633	forward	1	fimE	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S]	S 
RDBECOLIOPC00714	dapB	28374	29195	forward	1	dapB	[COMP-HINF:W][EXP-IDA-BOUNDARIES-DEFINED:W]	W 
RDBECOLIOPC00715	clcB	1665315	1666571	forward	1	clcB	[COMP-AINF:W]	W 
RDBECOLIOPC00716	betT	329463	331496	forward	1	betT		 
RDBECOLIOPC00717	lgt-thyA	2964361	2966037	reverse	2	lgt|thyA	[EXP-IDA-BOUNDARIES-DEFINED:W][EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S][EXP-IEP-COREGULATION:W]	W 
RDBECOLIOPC00718	yceF	1146011	1146595	reverse	1	yceF	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00719	spf-spfP	4049899	4050009	forward	2	spf|spfP	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00720	yjcS	4304612	4306597	reverse	1	yjcS	[COMP-AINF:W]	W 
RDBECOLIOPC00721	aegA	2583546	2585525	reverse	1	aegA	[COMP-AINF:W]	W 
RDBECOLIOPC00722	ddlA	399829	400923	reverse	1	ddlA	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00724	soxR	4277469	4277933	forward	1	soxR	[EXP-IDA-BOUNDARIES-DEFINED:W]	W 
RDBECOLIOPC00725	nfeF	3215727	3216491	reverse	1	nfeF	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00726	ydgA	1689852	1691360	forward	1	ydgA	[COMP-AINF:W]	W 
RDBECOLIOPC00727	yeeRST-cbeA-cbtA-yeeW	2074779	2078134	forward	6	yeeR|yeeS|yeeT|cbeA|cbtA|yeeW	[COMP-AINF:W]	W 
RDBECOLIOPC00728	prfC	4609414	4611003	forward	1	prfC	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S][COMP-AINF:W]	W 
RDBECOLIOPC00729	yahL	344176	344991	forward	1	yahL	[COMP-AINF:W]	W 
RDBECOLIOPC00730	ymgF	1218983	1219201	forward	1	ymgF	[COMP-AINF:W]	W 
RDBECOLIOPC00731	csrD	3401392	3403332	reverse	1	csrD	[COMP-AINF:W]	W 
RDBECOLIOPC00732	zraSR	4201926	4204645	forward	2	zraS|zraR	[EXP-IEP:W][EXP-IEP-COREGULATION:W]	W 
RDBECOLIOPC00733	phoE	259045	260100	reverse	1	phoE		 
RDBECOLIOPC00734	envY-ompT	584680	586908	reverse	2	envY|ompT		 
RDBECOLIOPC00735	mqo	2305108	2306754	reverse	1	mqo	[COMP-AINF:W]	W 
RDBECOLIOPC00736	bdcR	4474124	4474717	forward	1	bdcR	[COMP-AINF:W]	W 
RDBECOLIOPC00737	dcm-vsr	2030448	2032317	reverse	2	dcm|vsr		 
RDBECOLIOPC00738	dosCP	1563334	1567140	reverse	2	dosC|dosP	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S][EXP-IEP-COREGULATION:W]	W 
RDBECOLIOPC00739	yghO	3129043	3130215	reverse	1	yghO	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00740	yidB	3877067	3877465	reverse	1	yidB	[COMP-AINF:W]	W 
RDBECOLIOPC00741	csrB	2924156	2924524	reverse	1	csrB	[EXP-IDA-BOUNDARIES-DEFINED:W][EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S]	W 
RDBECOLIOPC00743	sodA	4100810	4101430	forward	1	sodA	[EXP-IDA-BOUNDARIES-DEFINED:W]	W 
RDBECOLIOPC00744	murR	2544752	2545609	reverse	1	murR	[COMP-AINF:W]	W 
RDBECOLIOPC00745	rtcR	3558268	3559866	forward	1	rtcR	[EXP-IDA-BOUNDARIES-DEFINED:W]	W 
RDBECOLIOPC00746	tcyP	1810934	1812325	forward	1	tcyP	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S]	S 
RDBECOLIOPC00747	cycA	4429864	4431276	forward	1	cycA	[COMP-AINF:W]	W 
RDBECOLIOPC00748	mnmA	1192667	1193773	reverse	1	mnmA	[COMP-HINF:W]	W 
RDBECOLIOPC00749	yfaATSQP	2327367	2336644	reverse	5	yfaA|yfaT|yfaS|yfaQ|yfaP	[COMP-AINF:W]	W 
RDBECOLIOPC00750	slt	4630733	4632670	forward	1	slt	[COMP-AINF:W]	W 
RDBECOLIOPC00751	insC4D4CD4-ygeON	2995314	2997600	reverse	5	insCD4|insC4|insD4|ygeO|ygeN	[COMP-AINF:W]	W 
RDBECOLIOPC00752	cbl	2059964	2060914	reverse	1	cbl	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S]	S 
RDBECOLIOPC00753	ygeP	2997689	2997988	reverse	1	ygeP	[COMP-AINF:W]	W 
RDBECOLIOPC00754	sraG	3311183	3311398	forward	1	sraG	[COMP-AINF-SINGLE-DIRECTON:W][EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S]	W 
RDBECOLIOPC00755	ybeM	658031	658818	forward	1	ybeM	[EXP-IEP-COREGULATION:W][COMP-AINF:W]	W 
RDBECOLIOPC00756	dusC	2229438	2230385	reverse	1	dusC	[COMP-AINF:W]	W 
RDBECOLIOPC00757	potABCD	1181783	1185594	reverse	4	potA|potB|potC|potD		 
RDBECOLIOPC00758	frwCB	4142530	4143944	forward	2	frwC|frwB	[COMP-AINF:W]	W 
RDBECOLIOPC00759	yghU	3138727	3139593	forward	1	yghU	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00760	ydaSTUVW-rzpR	1420365	1423644	forward	6	ydaS|ydaT|ydaU|ydaV|ydaW|rzpR	[COMP-AINF:W]	W 
RDBECOLIOPC00761	tppB	1712769	1714271	forward	1	dtpA		 
RDBECOLIOPC00762	ygeY	3008764	3009975	forward	1	ygeY	[COMP-AINF:W]	W 
RDBECOLIOPC00763	yddAB	1575247	1579342	reverse	2	yddA|yddB	[COMP-AINF:W]	W 
RDBECOLIOPC00764	ssrA	2755593	2755955	forward	1	ssrA	[COMP-AINF:W]	W 
RDBECOLIOPC00765	hemH	498055	499017	forward	1	hemH	[COMP-AINF:W]	W 
RDBECOLIOPC00766	ytjA	4612128	4612289	forward	1	ytjA	[COMP-AINF:W]	W 
RDBECOLIOPC00767	sapABCDF	1351828	1357110	reverse	5	sapA|sapB|sapC|sapD|sapF	[COMP-AINF:W]	W 
RDBECOLIOPC00768	ymfED	1196867	1198237	reverse	2	ymfE|ymfD	[COMP-AINF:W]	W 
RDBECOLIOPC00769	tdcABCDEFG	3258285	3267065	reverse	7	tdcA|tdcB|tdcC|tdcD|tdcE|tdcF|tdcG	[IC-ADJ-GENES-SAME-BIO-PROCESS:W][EXP-IDA-BOUNDARIES-DEFINED:W][EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S][EXP-IMP-POLAR-MUTATION:S]	W 
RDBECOLIOPC00770	sufABCDSE	1758874	1764386	reverse	6	sufA|sufB|sufC|sufD|sufS|sufE	[EXP-IEP-COREGULATION:W][IC-ADJ-GENES-SAME-BIO-PROCESS:W]	W 
RDBECOLIOPC00771	smrB	2448606	2449157	forward	1	smrB	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00772	ynfU	1640805	1640975	forward	1	ynfU	[COMP-HINF-IGC:W][IC:W]	W 
RDBECOLIOPC00773	yhhT	3611865	3612914	forward	1	yhhT	[COMP-AINF:W]	W 
RDBECOLIOPC00774	ygiD	3181619	3182434	reverse	1	ygiD	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00775	cynR	357791	358690	reverse	1	cynR		 
RDBECOLIOPC00777	yqhJ	3111266	3111325	forward	1	yqhJ	[COMP-HINF-IGC:W][IC:W]	W 
RDBECOLIOPC00778	eptB	3708784	3710475	reverse	1	eptB	[COMP-AINF:W]	W 
RDBECOLIOPC00779	amyA	2006156	2007643	forward	1	amyA	[EXP-IDA-BOUNDARIES-DEFINED:W]	W 
RDBECOLIOPC00780	ubiD	4024988	4026481	forward	1	ubiD	[COMP-AINF:W]	W 
RDBECOLIOPC00781	fsr	503476	504696	reverse	1	fsr	[COMP-AINF:W]	W 
RDBECOLIOPC00782	glnHPQ	845741	848004	reverse	3	glnH|glnP|glnQ		 
RDBECOLIOPC00783	asnV	2062260	2062335	forward	1	asnV	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S][EXP-IDA-BOUNDARIES-DEFINED:W]	W 
RDBECOLIOPC00784	nac	2061016	2061933	reverse	1	nac	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S]	S 
RDBECOLIOPC00785	yhjH	3678420	3679187	reverse	1	pdeH	[COMP-AINF:W]	W 
RDBECOLIOPC00786	eptA	4333947	4335590	reverse	1	eptA	[COMP-HINF:W]	W 
RDBECOLIOPC00787	yffL	2560257	2560898	forward	1	yffL	[COMP-AINF:W]	W 
RDBECOLIOPC00788	yjgZ	4501260	4501589	forward	1	yjgZ	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00789	yjeJ	4373365	4374234	reverse	1	yjeJ	[COMP-AINF:W]	W 
RDBECOLIOPC00790	kbl-tdh	3790320	3792551	reverse	2	kbl|tdh		 
RDBECOLIOPC00791	emtA	1243180	1243791	forward	1	emtA	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00792	proL	2286211	2286287	forward	1	proL	[EXP-IDA-BOUNDARIES-DEFINED:W]	W 
RDBECOLIOPC00793	azuCR	1987843	1988001	reverse	2	azuR|azuC	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S][EV-EXP-IDA-TRANSCRIPT-LEN-DETERMINATION-NORTHERN:[]]	S 
RDBECOLIOPC00794	yicN	3841950	3842402	reverse	1	yicN	[COMP-AINF:W]	W 
RDBECOLIOPC00795	yibF	3761347	3761955	reverse	1	yibF	[COMP-AINF:W]	W 
RDBECOLIOPC00796	ybgC-tolQRA	774752	777607	forward	4	ybgC|tolQ|tolR|tolA	[EXP-IMP-POLAR-MUTATION:S]	S 
RDBECOLIOPC00798	znuCB	1942662	1944199	forward	2	znuC|znuB	[EXP-IDA-BOUNDARIES-DEFINED:W]	W 
RDBECOLIOPC00799	tehAB	1500573	1502155	forward	2	tehA|tehB	[EXP-TAS:W]	W 
RDBECOLIOPC00800	yrbL	3348452	3349084	forward	1	yrbL	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S]	S 
RDBECOLIOPC00801	ygcS	2896533	2897870	reverse	1	ygcS	[COMP-AINF:W]	W 
RDBECOLIOPC00802	rzoR	1423400	1423585	forward	1	rzoR	[COMP-AINF:W]	W 
RDBECOLIOPC00803	kilR-ydaE	1417838	1418229	reverse	2	kilR|ydaE	[COMP-AINF:W]	W 
RDBECOLIOPC00804	ygdI	2942918	2943145	reverse	1	ygdI	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00805	ymdG	1079120	1079146	forward	1	ymdG	[EXP-IDA-BOUNDARIES-DEFINED:W][IC:W]	W 
RDBECOLIOPC00806	lysA	2977637	2978899	reverse	1	lysA		 
RDBECOLIOPC00807	rcnR	2185524	2185796	reverse	1	rcnR	[COMP-AINF:W]	W 
RDBECOLIOPC00808	yqjF	3250562	3250954	forward	1	yqjF	[COMP-AINF:W]	W 
RDBECOLIOPC00810	dinI	1121242	1121487	reverse	1	dinI	[COMP-AINF:W]	W 
RDBECOLIOPC00811	serS	939428	940720	forward	1	serS	[COMP-AINF:W]	W 
RDBECOLIOPC00812	ydiFO	1775587	1778347	forward	2	ydiF|ydiO	[COMP-AINF:W]	W 
RDBECOLIOPC00813	yahIJ	340165	342507	forward	2	yahI|yahJ	[COMP-AINF:W]	W 
RDBECOLIOPC00814	ygjH	3220915	3221247	reverse	1	ygjH	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00815	yjiV	4574135	4576855	forward	1	yjiV	[COMP-AINF:W]	W 
RDBECOLIOPC00816	ybcH	587091	587981	reverse	1	ybcH	[COMP-HINF:W]	W 
RDBECOLIOPC00817	fkpA	3476607	3477419	reverse	1	fkpA	[EXP-IEP:W][COMP-AINF:W]	W 
RDBECOLIOPC00818	cdd	2231844	2232728	forward	1	cdd	[COMP-AINF:W]	W 
RDBECOLIOPC00819	rydB	1764713	1764780	reverse	1	rydB	[COMP-AINF:W]	W 
RDBECOLIOPC00820	yffMN	2561368	2561993	forward	2	yffM|yffN	[COMP-AINF:W]	W 
RDBECOLIOPC00821	ybcN-ninE-ybcO-rusA-ylcG	572466	573870	forward	5	ybcN|ninE|ybcO|rusA|ylcG	[COMP-AINF:W]	W 
RDBECOLIOPC00822	tamAB-ytfP	4442382	4448235	forward	3	tamA|tamB|ytfP	[COMP-AINF:W]	W 
RDBECOLIOPC00823	insH-2	574737	575717	reverse	1	insH2	[COMP-HINF:W]	W 
RDBECOLIOPC00824	yjbJ	4259237	4259446	forward	1	yjbJ	[COMP-AINF:W]	W 
RDBECOLIOPC00826	mntP	1905688	1906254	forward	1	mntP	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S][COMP-AINF:W]	W 
RDBECOLIOPC00827	metBL	4128672	4132267	forward	2	metB|metL	[EXP-IMP-POLAR-MUTATION:S]	S 
RDBECOLIOPC00828	cpdB	4434622	4436565	reverse	1	cpdB		 
RDBECOLIOPC00829	yieP-hsrA	3939185	3941327	reverse	2	yieP|hsrA	[COMP-AINF:W]	W 
RDBECOLIOPC00830	rdlC	1270393	1270460	forward	1	rdlC	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00831	digH	1567504	1568823	reverse	1	digH	[COMP-AINF:W]	W 
RDBECOLIOPC00832	yedD	2007677	2008090	reverse	1	yedD	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00833	yfiM	2724128	2724451	forward	1	yfiM	[COMP-AINF:W]	W 
RDBECOLIOPC00834	ybhJ	803503	805764	forward	1	ybhJ	[COMP-AINF:W]	W 
RDBECOLIOPC00835	pepT	1185844	1187070	forward	1	pepT	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00836	rclR	320227	321081	forward	1	rclR	[COMP-AINF:W]	W 
RDBECOLIOPC00837	nudE	3525589	3526149	reverse	1	nudE	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00838	modEF	792316	794644	reverse	2	modE|modF	[COMP-AINF:W]	W 
RDBECOLIOPC00839	ybdH	632389	633477	reverse	1	hcxA	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00840	yfcF	2419841	2420485	reverse	1	yfcF	[COMP-AINF:W]	W 
RDBECOLIOPC00841	mdtL	3891615	3892790	forward	1	mdtL	[COMP-AINF:W]	W 
RDBECOLIOPC00842	yjhU	4519338	4520324	reverse	1	yjhU	[COMP-AINF:W]	W 
RDBECOLIOPC00843	yodB	2042368	2042898	forward	1	yodB	[COMP-AINF:W]	W 
RDBECOLIOPC00844	ybcK	568902	570428	forward	1	ybcK	[COMP-AINF:W]	W 
RDBECOLIOPC00845	yejK	2282940	2283947	reverse	1	yejK	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00846	icd	1195123	1196373	forward	1	icd	[EXP-IEP-COREGULATION:W]	W 
RDBECOLIOPC00847	nfeR	3216779	3217402	forward	1	nfeR	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00848	rnk	643557	643967	reverse	1	rnk	[COMP-AINF:W]	W 
RDBECOLIOPC00849	gatR_2	2169693	2171727	reverse	1	gatR		 
