# License
#	# RegulonDB is free for academic/noncommercial use
# User is not entitled to change or erase data sets of the RegulonDB
# database or to eliminate copyright notices from RegulonDB. Furthermore,
# User is not entitled to expand RegulonDB or to integrate RegulonDB partly
# or as a whole into other databank systems, without prior written consent
# from CCG-UNAM.
# Please check the license at https://regulondb.ccg.unam.mx/manual/aboutUs/terms-conditions
# Citation
#	# Heladia Salgado, Socorro Gama-Castro, et al., RegulonDB v12.0: a comprehensive resource of transcriptional regulation in E. coli K-12,
# Nucleic Acids Research, 2023;, gkad1072, https://doi.org/10.1093/nar/gkad1072
# RegulonDB Release: 14.5
# Contact
#	email:regulondb@ccg.unam.mx
#Date:
#	06-02-2026
## Columns:
## (1) Transcription Factor (TF) identifier assigned by RegulonDB
## (2) TF Name
## (3) TF Synonyms List
## (4) Gene Coding for the TF
## (5) Gene Bnumbers Coding for the TF
## (6) TF Active Conformations
## (7) TF Inactive Conformations
## (8) TF Active Conformations  Synonyms List
## (9) TF Inactive Conformations  Synonyms List
## (10) Effector Name related to  TF Active Conformations
## (11) Effector Name related to  TF Inactive Conformations
## (12) Effector Synonyms List related to TF Active Conformations TF 
## (13) Effector Synonyms List related to TF Inactive Conformations TF
## (14) TF Symmetry
## (15) Evidence that supports the TF conformation [Evidence code | Evidence type: C = Confirmed, S = Strong, W = Weak | Evidence name ]
## (16) addEvidence. Additive Evidence [CV(EvidenceCode1/EvidenceCodeN)|Confidence Level]
## (17) confidenceLevel. Confidence level (Values: Confirmed, Strong, Weak)
## (18) TF conformation reference identifier (PMID)
1)tfId	2)tfName	3)tfSynonyms	4)geneCodingForTF	5)geneBnumberCodingForTF	6)tfActiveConformations	7)tfInactiveConformations	8)tfActiveConformationsSynonyms	9)tfInactiveConformationsSynonyms	10)tfActiveConformationsEffector	11)tfInactiveConformationsEffector	12)tfActiveConformationsEffectorSynonyms	13)tfInactiveConformationsEffectorSynonyms	14)symmetry	15)tfEvidences	16)additiveEvidences	17)confidenceLevel	18)tfConformationPMID 
RDBECOLITFC00069	MurR	YfeT|MurR	murR	b2427	DNA-binding transcriptional dual regulator MurR	MurR-N-acetylglucosamine-6-phosphate|MurR-<i>N</i>-acetyl-D-muramate 6-phosphate	YfeT|MurR			<i>N</i>-acetyl-D-glucosamine 6-phosphate|<i>N</i>-acetyl-D-muramate 6-phosphate		<i>N</i>-acetylglucosamine-6-P|GlcNAc-6-P|<i>N</i>-acetyl-D-glucosamine-6-P|<i>N</i>-acetyl-glucosamine 6-phosphate|<i>N</i>-acetyl-glucosamine-6-P|MurNAc-6-P		COMP-HINF-FN-FROM-SEQ:W|EXP-IDA-PURIFIED-PROTEIN:W|EXP-IEP:W|EXP-IPI:W|EXP-IDA-BINDING-OF-PURIFIED-PROTEINS:S|EXP-IMP:W		S	18723630|35640608 
RDBECOLITFC00070	NarL	NarR|NarL|nitrate/nitrite response regulator NarL|FrdR	narL	b1221	DNA-binding transcriptional dual regulator NarL-phosphorylated									COMP-AINF-FN-FROM-SEQ:W|IDA-PURIFIED-PROTEIN-NH:S|EXP-IMP:W|COMP-HINF-FN-FROM-SEQ:W		S	15995204|2648330|2649492|2657652|7601827|8057356 
RDBECOLITFC00071	HipB	HipB	hipB	b1508	HipB		HipB						INVERTED-REPEAT	EXP-IDA-PURIFIED-PROTEIN:W		W	10844683|24089363 
RDBECOLITFC00072	BluR	BluR|YcgE	bluR	b1162	BluR		BluR|YcgE						INVERTED-REPEAT	COMP-HINF-FN-FROM-SEQ:W|EXP-IDA-PURIFIED-PROTEIN:W|EXP-IEP:W		W	15556475|19240136 
RDBECOLITFC00073	YgiV	YgiV	ygiV	b3023	YgiV		YgiV						INVERTED-REPEAT	EXP-IDA-UNPURIFIED-PROTEIN:W|EXP-IEP:W		W	18309357 
RDBECOLITFC00074	MraZ	YabB|MraZ	mraZ	b0081	MraZ		YabB|MraZ						INVERTED-REPEAT	COMP-HINF-FN-FROM-SEQ:W|IDA-PURIFIED-PROTEIN-NH:S|EXP-IEP:W|EXP-IPI:W		S	24659771 
RDBECOLITFC00075	IclR	IclR	iclR	b4018	IclR-pyruvate DNA-binding transcriptional repressor	IclR-glyoxylate			pyruvate	glyoxylate	alpha-ketopropionic acid|BTS|&alpha;-ketopropionic acid|acetylformic acid|pyroracemic acid|2-oxopropanoic acid|pyruvic acid|2-oxopropanoate|2-oxo-propionic acid	glyoxalate|glyox|glyoxylic acid		EXP-IDA-PURIFIED-PROTEIN:W|EXP-IPI:W|COMP-HINF-FN-FROM-SEQ:W|EXP-IGI-FUNC-COMPLEMENTATION:S|EXP-IEP:W|EXP-IDA-BINDING-OF-PURIFIED-PROTEINS:S		S	12492863|1447784|2001680|2185227|8550439|17426033 
RDBECOLITFC00076	FadR	Ole|Dec|ThdB|OleR|FadR	fadR	b1187	FadR|FadR-an acyl-CoA		Ole|Dec|ThdB|OleR|FadR		an acyl-CoA		fatty acyl thioester-CoA|RCH2CH2CO-CoA|acyl-Coenzyme A|acyl<sub>n+2</sub>-CoA|acyl<sub>n-2</sub>-CoA		INVERTED-REPEAT	EXP-IEP:W|COMP-HINF-FN-FROM-SEQ:W|EXP-IDA-PURIFIED-PROTEIN:W|COMP-AINF-FN-FROM-SEQ:W|EXP-IDA-BINDING-OF-PURIFIED-PROTEINS:S|EXP-IPI:W		S	11566998|1569108|9767562|2843809|8446033|10592242 
RDBECOLITFC00077	HdfR	YifA|HdfR|YifD	hdfR	b4480	HdfR		YifA|HdfR|YifD						INVERTED-REPEAT	EXP-IDA-PURIFIED-PROTEIN:W|EXP-IEP-GENE-EXPRESSION-ANALYSIS:W|EXP-IDA-PART-PURIFIED-PROTEIN-NH:W		W	10913108|21034467|28484043 
RDBECOLITFC00078	OmpR	OmpR|Kmt|Cry|OmpB|OmpR response regulator	ompR	b3405	DNA-binding transcriptional dual regulator OmpR		OmpR|Kmt|Cry|OmpB|OmpR response regulator						DIRECT-REPEAT	COMP-HINF-FN-FROM-SEQ:W|IDA-PURIFIED-PROTEIN-NH:S|EXP-IMP:W		S	16855227|26209678|27050393|40231449|1482126|2157156|2997120|3010044|6292199|7699720|8098993|3020561|3023382|6263866 
RDBECOLITFC00079	GlaR	GlaR|CsiR|YgaE|GabC	glaR	b2664	GlaR	GlaR-glutarate	GlaR|CsiR|YgaE|GabC			glutarate		pentanedioate|glutaric acid	INVERTED-REPEAT	EXP-IMP:W|IDA-PURIFIED-PROTEIN-NH:S		S	12446648|2188954|24037|28061857|30498244 
RDBECOLITFC00080	HyfR	HyfR	hyfR	b2491	HyfR		HyfR						INVERTED-REPEAT	EXP:W		W	9387241 
RDBECOLITFC00081	RutR	YcdC|RutR	rutR	b1013	DNA-binding transcriptional dual regulator RutR	RutR-thymine|RutR-uracil				thymine|uracil		5-methyluracil|5-methyl-2,4(1H,3H)-pyrimidinedione|T|U|2,4-(1H,3H)-pyrimidinedione	INVERTED-REPEAT	COMP-AINF-FN-FROM-SEQ:W|COMP-HINF-FN-FROM-SEQ:W|EXP-IMP:W|EXP-IDA-PURIFIED-PROTEIN:W|EXP-IDA-BINDING-OF-PURIFIED-PROTEINS:S|EXP-IEP:W		S	15556475|16540542|17919280|20472642 
RDBECOLITFC00082	SutR	SutR|YdcN	sutR	b1434	SutR		SutR|YdcN						INVERTED-REPEAT	COMP-AINF-FN-FROM-SEQ:W|IDA-PURIFIED-PROTEIN-NH:S|EXP-IEP:W		S	10734204|15556475|24391520|25406449 
RDBECOLITFC00083	GlrR	QseF|YfhA|GlrR|GlrR response regulator	glrR	b2554	DNA-binding transcriptional activator GlrR-phosphorylated									EXP-IDA-PURIFIED-PROTEIN:W|COMP-HINF-FN-FROM-SEQ:W|EXP-IMP:W		W	 
RDBECOLITFC00084	AppY	AppY	appY	b0564	AppY		AppY						INVERTED-REPEAT	EXP:W		W	27718375|2537825|3295784|8071219 
RDBECOLITFC00085	QseB	YgiX|QseB|QseB response regulator	qseB	b3025	Phosphorylated DNA-binding transcriptional activator QseB								INVERTED-REPEAT	EXP:W|COMP-AINF-FN-FROM-SEQ:W|EXP-IEP:W|EXP-IPI:W		W	11929534|16194231 
RDBECOLITFC00086	CRP	GurB|Csm|Cap|Crp	crp	b3357	CRP-cyclic-AMP DNA-binding transcriptional dual regulator				cyclic-AMP		cyclic 3',5'-AMP|3',5'-cyclic AMP|adenosine cyclic-3',5'-monophosphate|adenosine cyclic-monophosphate|adenosine-cyclic-phosphoric-acid|cAMP|adenosine-cyclic-phosphate|adenosine-3',5'-monophosphate|adenosine 3',5'-cyclic phosphate|adenosine-3',5'-cyclic monophosphate|cyclic-3',5'-adenosine monophosphate		INVERTED-REPEAT	EXP-IDA-PURIFIED-PROTEIN:W|EXP-IMP:W|COMP-AINF-FN-FROM-SEQ:W|EXP-IEP-GENE-EXPRESSION-ANALYSIS:W|EXP-IPI:W|EXP-IEP:W|EXP-IDA-PART-PURIFIED-PROTEIN:W|COMP-HINF:W|COMP-HINF-FN-FROM-SEQ:W		W	10564497|10852886|11742992|14638413|15150239|15520470|15659676|19439203|35648826|8735277 
RDBECOLITFC00087	DksA	MsmA|DksA	dksA	b0145	DksA|DksA-ppGpp		MsmA|DksA		ppGpp		guanosine tetraphosphate|guanosine 5'-diphosphate,3'-diphosphate|guanosine 3',5'-bispyrophosphate|guanosine 3',5'-bis(diphosphate)|guanosine 3'-diphosphate 5'-diphosphate|magic spot|guanosine-5',3'-tetraphosphate		INVERTED-REPEAT	EXP-IMP:W		W	12142416|35667439|39983623 
RDBECOLITFC00088	RbsR	RbsR|regulator for rbs operon	rbsR	b3753	RbsR|RbsR-D-ribose		RbsR|regulator for rbs operon		D-ribose		ribose		INVERTED-REPEAT	EXP:W|EXP-IDA-BINDING-OF-PURIFIED-PROTEINS:S|EXP-IDA:W|EXP-IPI:W		S	1304370|7686882|1304369 
RDBECOLITFC00089	SrlR	GutR|SrlR	srlR	b2707	SrlR	SrlR-D-sorbitol	GutR|SrlR			D-sorbitol		L-gulitol|D-glucitol|iso-sorbide|(2S,3R,4R,5R)-hexane-1,2,3,4,5,6-hexol	INVERTED-REPEAT	COMP-HINF-FN-FROM-SEQ:W|EXP-IEP:W|EXP-IEP-GENE-EXPRESSION-ANALYSIS:W		W	3062173|31608580 
RDBECOLITFC00090	GlpR	GlpR	glpR	b3423	GlpR	GlpR-glycerol|GlpR-glycerol-<i>sn</i>-3-phosphate	GlpR			glycerol|<i>sn</i>-glycerol 3-phosphate		1,2,3-trihydroxypropane|glycerin|1,2,3-trihydroxypropanol|L-&alpha;-glycerophosphate|L-G3P|L-glycerol 3-phosphate|&alpha;-glycerophosphoric acid|&alpha;-glycerophosphate|D-glycerol 1-phosphate|glycerol 3-phosphate	INVERTED-REPEAT	EXP:W|EXP-IDA-BINDING-OF-PURIFIED-PROTEINS:S|EXP-IPI:W		S	3316209|8955387|1556120|825019 
RDBECOLITFC00091	BirA	BirA|BioR|DhbB|biotin-[acetylCoA carboxylase] holoenzyme synthetase and biotin operon repressor	birA	b3973	BirA-biotinyl-5'-adenylate DNA-binding transcriptional repressor / biotin-[acetyl-CoA-carboxylase] ligase				biotinyl-5'-adenylate		biotinyl-5'-AMP			COMP-HINF-FN-FROM-SEQ:W|EXP-IPI:W		W	3536662 
RDBECOLITFC00092	Cra	Shl|FruC|FruR|Cra	cra	b0080	DNA-binding transcriptional dual regulator Cra|Cra-&beta;-D-fructofuranose 1-phosphate				&beta;-D-fructofuranose 1-phosphate		&beta;-D-fructofuranose-1-P		INVERTED-REPEAT	EXP-IDA-PURIFIED-PROTEIN:W|COMP-HINF-FN-FROM-SEQ:W|EXP-IDA-BINDING-OF-PURIFIED-PROTEINS:S|EXP-IEP:W		S	8195118|8230205|8858581|9237914|1630901|1851954|2198273|9371462|8577250|9084760 
RDBECOLITFC00093	NorR	NorR|YgaA	norR	b2709	NorR		NorR|YgaA						INVERTED-REPEAT	EXP-IEP:W|EXP-IMP:W|EXP-IDA:W|EXP-IDA-PURIFIED-PROTEIN:W		W	11751865|12142437|12529359|14718666|15375149|16193057|7894055 
RDBECOLITFC00094	GadX	YhiX|GadX	gadX	b3516	GadX		YhiX|GadX						ASYMMETRIC	EXP-IDA-PURIFIED-PROTEIN:W|EXP-IEP-GENE-EXPRESSION-ANALYSIS:W		W	11976288|12446650 
RDBECOLITFC00095	SoxS	SoxS|regulation of superoxide response regulon	soxS	b4062	SoxS		SoxS|regulation of superoxide response regulon						ASYMMETRIC	EXP:W		W	1653416|1708380|7891555|7896696|8034583|8226698|8265357 
RDBECOLITFC00096	CRP-Sxy	CRP-Sxy	sxy|crp	b0959|b3357	CRP-Sxy		CRP-Sxy							EXP-IMP:W		W	31543875 
RDBECOLITFC00097	YfeC	YfeC	yfeC	b2398	YfeC		YfeC						INVERTED-REPEAT	COMP-AINF-FN-FROM-SEQ:W		W	15556475 
RDBECOLITFC00098	DicD	YjdC|DicD|DicD, YjdC	dicD	b4135	DicD		YjdC|DicD|DicD, YjdC						INVERTED-REPEAT			None	19459971 
RDBECOLITFC00099	LldR	Lct|LldR|LctR	lldR	b3604	LldR|DNA-binding transcriptional dual regulator LldR-<i>S</i>-lactate		Lct|LldR|LctR		(<i>S</i>)-lactate		L-lactate|L(+)-lactate|L-lactic acid|(<i>S</i>)-lactic acid		INVERTED-REPEAT	EXP-IDA:W		W	18263722 
RDBECOLITFC00100	AsnC	AsnC	asnC	b3743	DNA-binding transcriptional dual regulator AsnC	AsnC-L-asparagine	AsnC			L-asparagine		asparagine|&alpha;-aminosuccinamic acid|(-)-asparagine|(S)-2,4-diamino-4-oxobutanoic acid|(S)-asparagine|2,4-diamino-4-oxobutanoic acid, (S)-|2-aminosuccinamic acid, L-|agedoite|altheine|asparagine acid|aspartic acid &beta;-amide|butanoic acid, 2,4-diamino-4-oxo-, (S)-|L-2,4-diamino-4-oxobutanoic acid|L-asparatamine|L-&beta;-asparagine|N|L-asn|asn	INVERTED-REPEAT	COMP-HINF-FN-FROM-SEQ:W|EXP-IEP:W|EXP-IPI:W		W	6357950|7686882|16528101|2864330 
RDBECOLITFC00101	LysR	LysR|positive regulator for lys	lysR	b2839	LysR		LysR|positive regulator for lys						INVERTED-REPEAT	EXP:W		W	6350602 
RDBECOLITFC00102	AscG	Sac|AscG	ascG	b2714	AscG		Sac|AscG						ASYMMETRIC|INVERTED-REPEAT	COMP-HINF-FN-FROM-SEQ:W|EXP-IEP-GENE-EXPRESSION-ANALYSIS:W|IDA-PURIFIED-PROTEIN-NH:S		S	1630307|19633077 
RDBECOLITFC00103	DpiA	DpiA|MpdA|CriR|CitB|DpiA response regulator	dpiA	b0620	DNA-binding transcriptional dual regulator DpiA-phosphorylated								INVERTED-REPEAT	IDA-PURIFIED-PROTEIN-NH:S		S	18997424 
RDBECOLITFC00104	Nac	Nac	nac	b1988	Nac		Nac						INVERTED-REPEAT	EXP-IDA:W|COMP-HINF-FN-FROM-SEQ:W|EXP-IGI-FUNC-COMPLEMENTATION:S		S	11121068|9495755 
RDBECOLITFC00105	IscR	IscR|YfhP	iscR	b2531	IscR|DNA-binding transcriptional repressor IscR-a [2Fe-2S] iron-sulfur cluster		IscR|YfhP		a [2Fe-2S] iron-sulfur cluster		an iron-sulfur center (ambiguous)|Fe<sub>2</sub>S<sub>2</sub> iron-sulfur cluster|a 2Fe-2S center|a 2Fe-2S cluster|2Fe-2S|Fe<sub>2</sub>S<sub>2</sub>|an Fe<sub>2</sub>S<sub>2</sub> iron-sulfur center|[2Fe-2S]|[2Fe-2S] cluster|Iron-sulfur (2Fe-2S)		INVERTED-REPEAT	EXP-IEP:W|IDA-PURIFIED-PROTEIN-NH:S|EXP-IMP:W		S	11742080|23075318 
RDBECOLITFC00106	YgbI	YgbI	ygbI	b2735	YgbI		YgbI						INVERTED-REPEAT	COMP-HINF-FN-FROM-SEQ:W		W	10734204|15556475 
RDBECOLITFC00107	RacR	RacR|YdaR|RarC|DicA	racR	b1356	Rac prophage; DNA-binding transcriptional repressor RacR								INVERTED-REPEAT	COMP-AINF-FN-FROM-SEQ:W|COMP-HINF:W|IDA-PURIFIED-PROTEIN-NH:S|EXP-IEP:W		S	10734204|12886937|15556475|29205228|29205229 
RDBECOLITFC00108	CusR	YlcA|CusR response regulator	cusR	b0571	DNA-binding transcriptional activator CusR-phosphorylated									EXP:W|COMP-HINF-FN-FROM-SEQ:W|EXP-IMP:W|IDA-PURIFIED-PROTEIN-NH:S		S	11004187|15522865|15773991|30530842 
RDBECOLITFC00109	MalI	MalI	malI	b1620	MalI		MalI						INVERTED-REPEAT	COMP:W|EXP-IEP:W|COMP-HINF-FN-FROM-SEQ:W		W	1856179|2670898 
RDBECOLITFC00110	Lrp	LstR|Mbf|OppI|RblA|Lss|Lrs|Ihb|Lrp|LivR|AlsB	lrp	b0889	Lrp|DNA-binding transcriptional dual regulator Lrp-L-leucine		LstR|Mbf|OppI|RblA|Lss|Lrs|Ihb|Lrp|LivR|AlsB		L-leucine		(2S)-&alpha;-2-amino-4-methylvaleric acid|L|leucine|2-amino-4-methylvaleric acid|(2S)-&alpha;-leucine|L-leu|leu		INVERTED-REPEAT	COMP-HINF-FN-FROM-SEQ:W|IDA-PURIFIED-PROTEIN-NH:S		S	1346534|1729203|2040596|7665463|12675791|7901196|8636076 
RDBECOLITFC00111	BaeR	BaeR|BaeR response regulator	baeR	b2079	DNA-binding transcriptional activator BaeR-phosphorylated								INVERTED-REPEAT	EXP-IDA-PURIFIED-PROTEIN:W|EXP-IEP-GENE-EXPRESSION-ANALYSIS:W		W	12107134|32094588 
RDBECOLITFC00112	FrlR	YhfR|FrlR	frlR	b3375	FlrR	FrlR- <i>N</i><sup>6</sup>-(1-deoxy-6-<i>O</i>-phospho-D-fructos-1-yl)-L-lysine				<i>N</i><sup>6</sup>-(1-deoxy-6-<i>O</i>-phospho-D-fructos-1-yl)-L-lysine		fructoselysine-6-P|fructoselysine 6-phosphate		COMP-HINF-ORTHOLOGY-EXP:W|COMP-HINF-FN-FROM-SEQ:W|EXP-IMP:W		W	10734204|15556475|32979851 
RDBECOLITFC00113	YgaV	YgaV	ygaV	b2667	YgaV		YgaV						INVERTED-REPEAT	COMP-AINF-FN-FROM-SEQ:W|EXP-IMP:W		W	15556475|18245262 
RDBECOLITFC00114	GalS	MglD|GalS	galS	b2151	GalS|GalS-D-galactose		MglD|GalS		D-galactose		D-Gal		INVERTED-REPEAT	COMP-HINF-FN-FROM-SEQ:W|EXP-IEP:W|EXP-IMP:W|EXP-IDA-PURIFIED-PROTEIN:W|EXP-IGI:W|EXP-IDA:W|EXP-IDA-BINDING-OF-PURIFIED-PROTEINS:S|EXP-IPI:W		S	1619663|1900742|8416900|8982002|7934815|8619994 
RDBECOLITFC00115	ExuR	ExuR|negative regulator of exu regulon, exuT, uxaAC, and uxuB	exuR	b3094	ExuR|ExuR-&alpha;-D-galacturonate, &alpha;-D-glucuronate-DNA-binding transcriptional repressor	ExuR-&alpha;-D-glucuronate	ExuR|negative regulator of exu regulon, exuT, uxaAC, and uxuB		&alpha;-D-galacturonate	&alpha;-D-glucuronate	&alpha;-D-galacturonic acid	&alpha;-D-glucuronic acid|&alpha;-D-glucopyranuronic acid	INVERTED-REPEAT	EXP:W		W	6357945 
RDBECOLITFC00116	TrpR	RtrY|TrpR	trpR	b4393	DNA-binding transcriptional repressor TrpR-L-tryptophan				L-tryptophan		W|tryptacin|trofan|tryptophan|2-amino-3-indolylpropanic acid|L-trp|trp			IDA-PURIFIED-PROTEIN-NH:S|COMP-HINF-FN-FROM-SEQ:W		S	3315853|8613990 
RDBECOLITFC00117	EnvR	YhdK|AcrS|EnvR	envR	b3264	EnvR		YhdK|AcrS|EnvR						INVERTED-REPEAT	EXP-IDA-PURIFIED-PROTEIN:W|COMP-HINF-FN-FROM-SEQ:W		W	18567659|7592375|8196548 
RDBECOLITFC00118	HprR	YedW	hprR	b1969	HprR-P									COMP-HINF-FN-FROM-SEQ:W|COMP-HINF-ISM:W|IDA-PURIFIED-PROTEIN-NH:S|EXP-IEP:W		S	25568260 
RDBECOLITFC00119	XapR	YfeB|PndR|XapR	xapR	b2405	XapR-xanthosine DNA-binding transcriptional activator				xanthosine		9 &beta;-D-ribofuranosylxanthine|xanthine riboside			COMP-HINF-FN-FROM-SEQ:W|EXP-IEP:W		W	2201776|7559336 
RDBECOLITFC00120	YhaJ	YhaJ	yhaJ	b3105	YhaJ		YhaJ						INVERTED-REPEAT	COMP-HINF-FN-FROM-SEQ:W|IDA-PURIFIED-PROTEIN-NH:S|EXP-IEP:W		S	10734204|15556475|27713734 
RDBECOLITFC00121	HU	HU|HU&alpha;&beta;	hupA|hupB	b4000|b0440	HU		HU|HU&alpha;&beta;						INVERTED-REPEAT	EXP-IEP-GENE-EXPRESSION-ANALYSIS:W|EXP-IDA-PURIFIED-PROTEIN:W|COMP-AINF-FN-FROM-SEQ:W		W	10982882|11254141|11601842|12372591|227733|350619|3514923|6987059|9192630|9218807 
RDBECOLITFC00122	RhaR	RhaR	rhaR	b3906	RhaR-L-rhamnose DNA-binding transcriptional activator				L-rhamnose		6-deoxy-L-mannose|L-mannomethylose			COMP-HINF-FN-FROM-SEQ:W|EXP-IDA-PURIFIED-PROTEIN:W|EXP-IEP:W		W	10464186|17513476 
RDBECOLITFC00123	DgoR	DgoR|YidW	dgoR	b4479	DNA-binding transcriptional repressor DgoR	DgoR-D-galactonate				D-galactonate		galactonate	INVERTED-REPEAT	COMP-HINF-FN-FROM-SEQ:W|EXP-IDA:W|EXP-IEP:W|EXP-IPI:W|EXP-IDA-PART-PURIFIED-PROTEIN-NH:W		W	11756427|15556475|29728462|30455279|33068046 
RDBECOLITFC00124	DcuR	YjdG|DcuR response regulator|DcuR	dcuR	b4124	DcuR-P									EXP-IEP-GENE-EXPRESSION-ANALYSIS:W|EXP-IGI-FUNC-COMPLEMENTATION:S|EXP-IPI:W|COMP-AINF-FN-FROM-SEQ:W|EXP-IEP:W		S	15073297|9765574|9973351 
RDBECOLITFC00125	ZntR	YhdM|ZntR	zntR	b3292	ZntR-Zn<sup>2+</sup> DNA-binding transcriptional activator|ZntR-Zn<SUP>2+</SUP>	ZntR-Zn<sup>2+</sup> transcriptional activator			Zn<SUP>2+</SUP>|ZntR-Zn<sup>2+</sup> transcriptional activator	Zn<SUP>2+</SUP>	zinc(II)|Zn(II) (incorrect)|Zn<sup>II</sup>	zinc(II)|Zn(II) (incorrect)|Zn<sup>II</sup>		COMP-AINF-FN-FROM-SEQ:W|EXP-IEP-GENE-EXPRESSION-ANALYSIS:W|EXP-IDA-BINDING-OF-PURIFIED-PROTEINS:S|COMP-HINF-FN-FROM-SEQ:W		S	10048032|10608803 
RDBECOLITFC00126	Rob	RobA|CbpB|Rob|right origin-binding protein	rob	b4396	Rob		RobA|CbpB|Rob|right origin-binding protein						ASYMMETRIC	EXP:W		W	7896685|8449900 
RDBECOLITFC00127	XylR	XylR	xylR	b3569	DNA-binding transcriptional dual regulator XylR-&alpha;-D-xylopyranose				&alpha;-D-xylopyranose		&alpha;-D-xylose			EXP-IDA-PURIFIED-PROTEIN:W|EXP-IEP:W		W	26527647|9371449 
RDBECOLITFC00128	GadE	YhiT|YhiE|GadE|acid-responsive regulator of gadA and gadBC	gadE	b3512	GadE		YhiT|YhiE|GadE|acid-responsive regulator of gadA and gadBC						ASYMMETRIC	EXP:W|IDA-PURIFIED-PROTEIN-NH:S		S	12399493|12426343|12657056|12694615|12704134|12940989|14702398|30578262|32094588 
RDBECOLITFC00129	Fur	Fur	fur	b0683	Fur|[2Fe-2S] cluster DNA-binding transcriptional dual regulator		Fur		Fe<sup>2+</sup>		ferrous iron|ferrous ion|iron(II)|Fe<sup>II</sup>		INVERTED-REPEAT	EV-EXP-IDA-BINDING-OF-PURIFIED-PROTEINS-EMSA:[]|EXP-IDA-PART-PURIFIED-PROTEIN:W|EXP-IEP:W		W	7026976|1868094|2015825|2823881|2993806|37100285 
RDBECOLITFC00130	MntR	MntR|YbiQ	mntR	b0817	MntR	MntR-Mn|MntR-Mn<SUP>2+</SUP>			Mn<SUP>2+</SUP>	Mn<SUP>2+</SUP>|MntR-Mn<sup>2+</sup>	Mn(II) (incorrect)|Mn<SUP>++</SUP>|manganese(II)|Mn<sup>II</sup>	Mn(II) (incorrect)|Mn<SUP>++</SUP>|manganese(II)|Mn<sup>II</sup>		COMP-HINF-FN-FROM-SEQ:W|EXP-IEP:W|EXP-IPI:W|COMP-HINF:W		W	11466284|21908668 
RDBECOLITFC00131	PepA	PepA|XerB|CarP	pepA	b4260	PepA								INVERTED-REPEAT	EXP-IDA-PURIFIED-PROTEIN:W|EXP-IMP:W		W	14741201|15049810|2670557 
RDBECOLITFC00132	SoxR	MarC|SoxR	soxR	b4063	SoxR		MarC|SoxR						INVERTED-REPEAT	IDA-PURIFIED-PROTEIN-NH:S		S	11470373|7673113|1400156|1653416|1708380 
RDBECOLITFC00133	ArcA	CpxC|Dye|FexA|Msp|Seg|SfrA|ArcA|dye resistance protein|ArcA response regulator	arcA	b4401	DNA-binding transcriptional dual regulator ArcA-phosphorylated									EXP-IDA-PURIFIED-PROTEIN:W|EXP-IEP-GENE-EXPRESSION-ANALYSIS:W|COMP-AINF-FN-FROM-SEQ:W|IDA-PURIFIED-PROTEIN-NH:S|COMP-HINF-FN-FROM-SEQ:W		S	1512197|16849788|19715602|2984198|7855430|7957084|8226939 
RDBECOLITFC00134	PhoB	PhoB|PhoT|PhoB response regulator	phoB	b0399	PhoB|DNA-binding transcriptional dual regulator PhoB-phosphorylated		PhoB|PhoT|PhoB response regulator						DIRECT-REPEAT	EXP-IDA-PURIFIED-PROTEIN:W|EXP-IEP-GENE-EXPRESSION-ANALYSIS:W|COMP-AINF-FN-FROM-SEQ:W		W	10986267|3054125|324866|3537313|6310121|6343798|7009567|1482126|2157156|7699720|7855419|8098993 
RDBECOLITFC00135	AlpA	AlpA	alpA	b2624	AlpA		AlpA						INVERTED-REPEAT	EXP-IMP:W		W	7511582 
RDBECOLITFC00136	PgrR	PgrR|YcjZ	pgrR	b1328	PgrR		PgrR|YcjZ						INVERTED-REPEAT	COMP-HINF-FN-FROM-SEQ:W|EXP-IDA-PART-PURIFIED-PROTEIN-NH:W		W	10734204|15556475|23301696 
RDBECOLITFC00137	PlaR	YiaJ|PlaR	plaR	b3574	PlaR		YiaJ|PlaR						INVERTED-REPEAT	EXP-IDA-PURIFIED-PROTEIN:W|EXP-IEP-GENE-EXPRESSION-ANALYSIS:W|EXP-IPI:W|EXP-IMP:W		W	10913096|30137486|9525947 
RDBECOLITFC00138	BasR	PmrA|BasR|BasR response regulator	basR	b4113	DNA-binding transcriptional dual regulator BasR-phosphorylated								INVERTED-REPEAT	EXP-IDA:W|COMP-AINF-FN-FROM-SEQ:W		W	 
RDBECOLITFC00139	YeiE	YeiE	yeiE	b2157	YeiE		YeiE						INVERTED-REPEAT	COMP-HINF-FN-FROM-SEQ:W|EXP-IMP:W|EXP-IPI:W		W	10734204|12400704|15556475|30137486 
RDBECOLITFC00140	IHF	IHF|integration host factor	ihfA|ihfB	b1712|b0912	IHF		IHF|integration host factor						INVERTED-REPEAT	EXP-IDA-PURIFIED-PROTEIN:W|EXP-IMP:W|EXP-IEP-GENE-EXPRESSION-ANALYSIS:W|EXP-IEP:W		W	7629095|7862094|8156991|8230206|8515442|7651128|7715442 
RDBECOLITFC00141	KdgR	YebP|KdgR	kdgR	b1827	KdgR		YebP|KdgR						INVERTED-REPEAT	EXP-IEP:W|EXP-IMP:W		W	11566977|15659677|4359651 
